,L1_orig,L2_orig,L3_orig,tuple_orig,count_orig,L1_edit,L2_edit,L3_edit
2176,Bramfontein,-1,-1,"('Bramfontein', '-1', '-1')",1,,,
2177,Bramley,Johannesburg,South Africa,"('Bramley', 'Johannesburg', 'South Africa')",1,,,
2178,Brampton,Toronto,Canada,"('Brampton', 'Toronto', 'Canada')",1,,,
2179,Brats,Brats,South Africa,"('Brats', 'Brats', 'South Africa')",1,,,
2180,Brazil,Accra,Ghana,"('Brazil', 'Accra', 'Ghana')",1,,,
2181,Brazil~ Old Fadama,-1,-1,"('Brazil~ Old Fadama', '-1', '-1')",2,,,
2182,Brazil~ Old Fadama,Accra,Ghana,"('Brazil~ Old Fadama', 'Accra', 'Ghana')",7,,,
2183,Brazzavie Boma,Kinshasa,Congo,"('Brazzavie Boma', 'Kinshasa', 'Congo')",1,,,
2184,Brazzaville,Brazzaville,Congo (Congo-Brazzaville),"('Brazzaville', 'Brazzaville', 'Congo (Congo-Brazzaville)')",1,,,
2185,Brazzaville,Brazzaville,Democratic Republic Of The Congo,"('Brazzaville', 'Brazzaville', 'Democratic Republic Of The Congo')",1,,,
2186,Brazzaville,Brazzaville,Republic Of Congo,"('Brazzaville', 'Brazzaville', 'Republic Of Congo')",3,,,
2187,Breda,Breda,Ghana,"('Breda', 'Breda', 'Ghana')",1,,,
2188,Breda,Breda,Holland,"('Breda', 'Breda', 'Holland')",2,,,
2189,Brekum,Sunyani,Ghana,"('Brekum', 'Sunyani', 'Ghana')",4,,,
2190,Bremen,Bremen,Germany,"('Bremen', 'Bremen', 'Germany')",2,,,
2191,Brenthurst,Johannesburg,South Africa,"('Brenthurst', 'Johannesburg', 'South Africa')",2,,,
2192,Brewa,Cape Coast,Ghana,"('Brewa', 'Cape Coast', 'Ghana')",1,,,
2193,Breyton,Ermelo,South Africa,"('Breyton', 'Ermelo', 'South Africa')",1,,,
2194,Brighton,London,Brit5,"('Brighton', 'London', 'Brit5')",1,,,
2195,Brighton,London,Britain,"('Brighton', 'London', 'Britain')",6,,,
2196,Brightshine Educational Centre,-1,-1,"('Brightshine Educational Centre', '-1', '-1')",1,,,
2197,Bristol,London,Britain,"('Bristol', 'London', 'Britain')",1,,,
2198,Britain,New Britain,United Kingdom,"('Britain', 'New Britain', 'United Kingdom')",1,,,
2199,Brits,Brits,South Africa,"('Brits', 'Brits', 'South Africa')",7,,,
2200,Brits,Brits North West,South Africa,"('Brits', 'Brits North West', 'South Africa')",1,,,
2201,Brits,Northwest,South Africa,"('Brits', 'Northwest', 'South Africa')",1,,,
2202,Brixton,Brixton,United Kingdom,"('Brixton', 'Brixton', 'United Kingdom')",1,,,
2203,Brode Near Jamestown,Accra,Ghana,"('Brode Near Jamestown', 'Accra', 'Ghana')",2,,,
2204,Brode Near Jamestown ,Accra,Ghana,"('Brode Near Jamestown ', 'Accra', 'Ghana')",1,,,
2205,Broklyn,New York,Usa,"('Broklyn', 'New York', 'Usa')",3,,,
2206,Brokyln,New York,United States Of America,"('Brokyln', 'New York', 'United States Of America')",2,,,
2207,Bronkespruit,Pretoria,South Africa,"('Bronkespruit', 'Pretoria', 'South Africa')",1,,,
2208,Bronx,Bronx,United States Of America,"('Bronx', 'Bronx', 'United States Of America')",1,,,
2209,Bronx,Bronx,Usa,"('Bronx', 'Bronx', 'Usa')",1,,,
2210,Bronx,New York,Ghana,"('Bronx', 'New York', 'Ghana')",1,,,
2211,Bronx,New York,United States Of America,"('Bronx', 'New York', 'United States Of America')",12,,,
2212,Brooklyn,Cape Town,South Africa,"('Brooklyn', 'Cape Town', 'South Africa')",1,,,
2213,Brooklyn,New York,Ghana,"('Brooklyn', 'New York', 'Ghana')",1,,,
2214,Brooklyn,New York,United States Of America,"('Brooklyn', 'New York', 'United States Of America')",6,,,
2215,Brooklyn,New York,Usa,"('Brooklyn', 'New York', 'Usa')",11,,,
2216,Brooklyn,New York,Usa It,"('Brooklyn', 'New York', 'Usa It')",1,,,
2217,Brother,Brother,Brother,"('Brother', 'Brother', 'Brother')",1,,,
2218,Broyao~ Old Fadama,Accra,Ghana,"('Broyao~ Old Fadama', 'Accra', 'Ghana')",1,,,
2219,Brynstan,Johannesburg,South Africa,"('Brynstan', 'Johannesburg', 'South Africa')",5,,,
2220,Brynston,Brynston,Sa,"('Brynston', 'Brynston', 'Sa')",1,,,
2221,Brynston,Fourways,Sa,"('Brynston', 'Fourways', 'Sa')",1,,,
2222,Bryston,Johannesburg,South Africa,"('Bryston', 'Johannesburg', 'South Africa')",5,,,
2223,Bryston,Randburg (Johannesburg),South Africa,"('Bryston', 'Randburg (Johannesburg)', 'South Africa')",1,,,
2224,Bubanza,Bururi,Burundi,"('Bubanza', 'Bururi', 'Burundi')",1,,,
2225,Bubuashie,Accra,Ghana,"('Bubuashie', 'Accra', 'Ghana')",3,,,
2226,Bubuashie,Dansoman,Ghana,"('Bubuashie', 'Dansoman', 'Ghana')",1,,,
2227,Buchinga,Kakamega,Kenya,"('Buchinga', 'Kakamega', 'Kenya')",1,,,
2228,Buchury Roots In Diepsloot Mall,Johannesburg,South Africa,"('Buchury Roots In Diepsloot Mall', 'Johannesburg', 'South Africa')",2,,,
2229,Buduba,Nambale,Uganda,"('Buduba', 'Nambale', 'Uganda')",2,,,
2230,Budubruam ,Accra,Ghana,"('Budubruam ', 'Accra', 'Ghana')",1,,,
2231,Buduburam,Kasoa,Ghana,"('Buduburam', 'Kasoa', 'Ghana')",1,,,
2232,Bududa,Mbale,Uganda,"('Bududa', 'Mbale', 'Uganda')",6,,,
2233,Bududa,Nairobi,Kenya,"('Bududa', 'Nairobi', 'Kenya')",1,,,
2234,Bududa,Nambale,Uganda,"('Bududa', 'Nambale', 'Uganda')",5,,,
2235,Budumbura,Accra,Ghana,"('Budumbura', 'Accra', 'Ghana')",1,,,
2236,Budumburam,Accra,Ghana,"('Budumburam', 'Accra', 'Ghana')",1,,,
2237,Bugogoma,Uvira,Democratic Republic Of The Congo,"('Bugogoma', 'Uvira', 'Democratic Republic Of The Congo')",1,,,
2238,Buhle Park,Johannesburg,South Africa,"('Buhle Park', 'Johannesburg', 'South Africa')",1,,,
2239,Builsa,Accra,Ghana,"('Builsa', 'Accra', 'Ghana')",1,,,
2240,Builsa,Zebilla,Ghana,"('Builsa', 'Zebilla', 'Ghana')",1,,,
2241,Bujamana,Kigali,Rwanda,"('Bujamana', 'Kigali', 'Rwanda')",1,,,
2242,Bujumbura,Bujumbura,Burundi,"('Bujumbura', 'Bujumbura', 'Burundi')",52,,,
2243,Bujumbura,Bujumbura,Kenya,"('Bujumbura', 'Bujumbura', 'Kenya')",3,,,
2244,Bujumbura,Bukirasazi,Burundi,"('Bujumbura', 'Bukirasazi', 'Burundi')",2,,,
2245,Bujumbura,Burundi,Burundi,"('Bujumbura', 'Burundi', 'Burundi')",1,,,
2246,Bujumbura,Nairobi,Kenya,"('Bujumbura', 'Nairobi', 'Kenya')",2,,,
2247,Bujumbura Camp,Kasoa,Ghana,"('Bujumbura Camp', 'Kasoa', 'Ghana')",1,,,
2248,Bujumburi,Bujumburi,Burundi,"('Bujumburi', 'Bujumburi', 'Burundi')",1,,,
2249,Bukani,Busia,Kenya,"('Bukani', 'Busia', 'Kenya')",3,,,
2250,Bukani,Nairobi,Kenya,"('Bukani', 'Nairobi', 'Kenya')",1,,,
2251,Bukavu,Bukavu,Congo-Brazzaville,"('Bukavu', 'Bukavu', 'Congo-Brazzaville')",4,,,
2252,Bukavu,Bukavu,Democratic Republic Of The Congo,"('Bukavu', 'Bukavu', 'Democratic Republic Of The Congo')",27,,,
2253,Bukavu,Congo,Congo (Congo-Brazzaville),"('Bukavu', 'Congo', 'Congo (Congo-Brazzaville)')",1,,,
2254,Bukavu,Kinshasa,Democratic Republic Of The Congo,"('Bukavu', 'Kinshasa', 'Democratic Republic Of The Congo')",7,,,
2255,Bukavu,Kinshasa,Kenya,"('Bukavu', 'Kinshasa', 'Kenya')",3,,,
2256,Bukavu,Nairobi,Kenya,"('Bukavu', 'Nairobi', 'Kenya')",1,,,
2257,Bukirasazi,Bukirasazi,Burundi,"('Bukirasazi', 'Bukirasazi', 'Burundi')",1,,,
2258,Bukoba,Bukoba,Tanzania,"('Bukoba', 'Bukoba', 'Tanzania')",1,,,
2259,Bukom,-1,-1,"('Bukom', '-1', '-1')",4,,,
2260,Bukom,Accra,Ghana,"('Bukom', 'Accra', 'Ghana')",25,,,
2261,Bukom,Bukom,Ghana,"('Bukom', 'Bukom', 'Ghana')",1,,,
2262,Bukom,James Town,Ghana,"('Bukom', 'James Town', 'Ghana')",1,,,
2263,Bukom ,Accra,Ghana,"('Bukom ', 'Accra', 'Ghana')",1,,,
2264,Bukom  And Akotolantey,Accra,Ghana,"('Bukom  And Akotolantey', 'Accra', 'Ghana')",1,,,
2265,Bukom Arena,Accra,Ghana,"('Bukom Arena', 'Accra', 'Ghana')",1,,,
2266,Bukpomo,Tamale,Ghana,"('Bukpomo', 'Tamale', 'Ghana')",4,,,
2267,Bulambuli,Bulambuli,Uganda,"('Bulambuli', 'Bulambuli', 'Uganda')",1,,,
2268,Bulambulu,Mbale,Uganda,"('Bulambulu', 'Mbale', 'Uganda')",2,,,
2269,Bulawayo,Bulawayo,Zimbabwe,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",99,,,
2270,Bulawayo,Harare,Sa,"('Bulawayo', 'Harare', 'Sa')",1,,,
2271,Bulawayo,Harare,Zimbabwe,"('Bulawayo', 'Harare', 'Zimbabwe')",14,,,
2272,Bulawayo,Johannesburg,South Africa,"('Bulawayo', 'Johannesburg', 'South Africa')",5,,,
2273,Bulawayo,Ndabazimbi,Zimbabwe,"('Bulawayo', 'Ndabazimbi', 'Zimbabwe')",1,,,
2274,Bulawayo,Ndabazinduna,Zimbabwe,"('Bulawayo', 'Ndabazinduna', 'Zimbabwe')",1,,,
2275,Bulawayo,Ntabazinduna,Zimbabwe,"('Bulawayo', 'Ntabazinduna', 'Zimbabwe')",5,,,
2276,Bulawayo,Ntabazintoni,Zimbabwe,"('Bulawayo', 'Ntabazintoni', 'Zimbabwe')",1,,,
2277,Bulawayo,Ntumbane,Zimbabwe,"('Bulawayo', 'Ntumbane', 'Zimbabwe')",1,,,
2278,Bulawayo,Ntumbani,Zimbabwe,"('Bulawayo', 'Ntumbani', 'Zimbabwe')",1,,,
2279,Bulawayo,Zimbabwe,Zimbabwe,"('Bulawayo', 'Zimbabwe', 'Zimbabwe')",3,,,
2280,Bulawayo And Harare,Bulawayo And Harare,Zimbabwe,"('Bulawayo And Harare', 'Bulawayo And Harare', 'Zimbabwe')",1,,,
2281,Bulayawo,Bulawayo,South Africa,"('Bulayawo', 'Bulawayo', 'South Africa')",1,,,
2282,Bulayawo,Bulawayo,Zimbabwe,"('Bulayawo', 'Bulawayo', 'Zimbabwe')",9,,,
2283,Bulayawo,Bulayawo,Bulayawo,"('Bulayawo', 'Bulayawo', 'Bulayawo')",3,,,
2284,Bulayawo,Bulayawo,Zimbabwe,"('Bulayawo', 'Bulayawo', 'Zimbabwe')",9,,,
2285,Bulayawo,Johannesburg,South Africa,"('Bulayawo', 'Johannesburg', 'South Africa')",1,,,
2286,Bulbul,Nairobi,Kenya,"('Bulbul', 'Nairobi', 'Kenya')",1,,,
2287,Bulbul,Ngong,Kenya,"('Bulbul', 'Ngong', 'Kenya')",3,,,
2288,Bulome,Mbaale,Uganda,"('Bulome', 'Mbaale', 'Uganda')",1,,,
2289,Bumala,Bumala,Kenya,"('Bumala', 'Bumala', 'Kenya')",2,,,
2290,Bumala,Busia,Kenya,"('Bumala', 'Busia', 'Kenya')",1,,,
2291,Bumbashi,Kinshasa,Sa,"('Bumbashi', 'Kinshasa', 'Sa')",1,,,
2292,Bumso,Kumasi,Ghana,"('Bumso', 'Kumasi', 'Ghana')",1,,,
2293,Bumula,Bungoma Town,Kenya,"('Bumula', 'Bungoma Town', 'Kenya')",4,,,
2294,Bumula,Nairobi,Kenya,"('Bumula', 'Nairobi', 'Kenya')",1,,,
2295,Bungati,Mbale,Kenya,"('Bungati', 'Mbale', 'Kenya')",1,,,
2296,Bungati,Mbale,Uganda,"('Bungati', 'Mbale', 'Uganda')",1,,,
2297,Bungati,Nairobi,Kenya,"('Bungati', 'Nairobi', 'Kenya')",2,,,
2298,Bungeni,Giyani,South Africa,"('Bungeni', 'Giyani', 'South Africa')",7,,,
2299,Bungeni,Johannesburg,South Africa,"('Bungeni', 'Johannesburg', 'South Africa')",1,,,
2300,Bungoma,Bungoma,Kenya,"('Bungoma', 'Bungoma', 'Kenya')",11,,,
2301,Bungoma,Nairobi,Kenya,"('Bungoma', 'Nairobi', 'Kenya')",1,,,
2302,Bungoma Town,Bungoma,Kenya,"('Bungoma Town', 'Bungoma', 'Kenya')",1,,,
2303,Bungoma Town,Bungoma Town,Kenya,"('Bungoma Town', 'Bungoma Town', 'Kenya')",1,,,
2304,Bunjumbura,Bujumbura,Burundi,"('Bunjumbura', 'Bujumbura', 'Burundi')",3,,,
2305,Bunjumbura,Bunjumbura,Burundi,"('Bunjumbura', 'Bunjumbura', 'Burundi')",8,,,
2306,Bunkpurugu,Accra,Ghana,"('Bunkpurugu', 'Accra', 'Ghana')",1,,,
2307,Bunkpurugu,Bolgatanga,Ghana,"('Bunkpurugu', 'Bolgatanga', 'Ghana')",3,,,
2308,Bunso,Bunso,Ghana,"('Bunso', 'Bunso', 'Ghana')",1,,,
2309,Bunyore,Kakamega,Kenya,"('Bunyore', 'Kakamega', 'Kenya')",3,,,
2310,Buraza,Gitega,Burundi,"('Buraza', 'Gitega', 'Burundi')",3,,,
2311,Buraza,Gitega,Kenya,"('Buraza', 'Gitega', 'Kenya')",1,,,
2312,Burgersdal,Westernaria,South Africa,"('Burgersdal', 'Westernaria', 'South Africa')",3,,,
2313,Burma Camp,Accra,Ghana,"('Burma Camp', 'Accra', 'Ghana')",9,,,
2314,Burpe,Burpe,Ghana,"('Burpe', 'Burpe', 'Ghana')",1,,,
2315,Burpe,Kintampo,Ghana,"('Burpe', 'Kintampo', 'Ghana')",2,,,
2316,Buru Buru,Nairobi,Kenya,"('Buru Buru', 'Nairobi', 'Kenya')",6,,,
2317,Buruburu,Nairobi,Kenya,"('Buruburu', 'Nairobi', 'Kenya')",30,,,
2318,Buruburu,Nairobi,Nairobi,"('Buruburu', 'Nairobi', 'Nairobi')",1,,,
2319,Burudi,Burudi,Burundi,"('Burudi', 'Burudi', 'Burundi')",1,,,
2320,Burundi,Burundi,Burundi,"('Burundi', 'Burundi', 'Burundi')",1,,,
2321,Burundi,Nairobi,Kenya,"('Burundi', 'Nairobi', 'Kenya')",1,,,
2322,Bus Park,Nairobi,Kenya,"('Bus Park', 'Nairobi', 'Kenya')",1,,,
2323,Busesa,Kampala,Uganda,"('Busesa', 'Kampala', 'Uganda')",4,,,
2324,Bushangala,Kakamega,Kenya,"('Bushangala', 'Kakamega', 'Kenya')",2,,,
2325,Bushbargridge,Bushbargridge,South Africa,"('Bushbargridge', 'Bushbargridge', 'South Africa')",1,,,
2326,Bushbuckridge,Acornhoek,Mp,"('Bushbuckridge', 'Acornhoek', 'Mp')",1,,,
2327,Bushbuckridge,Acornhoek,Sa,"('Bushbuckridge', 'Acornhoek', 'Sa')",1,,,
2328,Bushbuckridge,Bushbuckridge,South Africa,"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",2,,,
2329,Bushbuckridge,Mp,Sa,"('Bushbuckridge', 'Mp', 'Sa')",1,,,
2330,Bushbuckridge,Nelspruit,South Africa,"('Bushbuckridge', 'Nelspruit', 'South Africa')",2,,,
2331,Bushburgridge,Limpopo,South Africa,"('Bushburgridge', 'Limpopo', 'South Africa')",1,,,
2332,Bushiende,Nambale,Uganda,"('Bushiende', 'Nambale', 'Uganda')",1,,,
2333,Bushika,Mbale,Uganda,"('Bushika', 'Mbale', 'Uganda')",2,,,
2334,Bushika,Nairobi,Kenya,"('Bushika', 'Nairobi', 'Kenya')",1,,,
2335,Busia,Accra,Ghana,"('Busia', 'Accra', 'Ghana')",2,,,
2336,Busia,Busia,Kenya,"('Busia', 'Busia', 'Kenya')",35,,,
2337,Busia,Kakamega,Kenya,"('Busia', 'Kakamega', 'Kenya')",5,,,
2338,Busia,Kisumu,Kenya,"('Busia', 'Kisumu', 'Kenya')",1,,,
2339,Busia,Nairobi,Kenya,"('Busia', 'Nairobi', 'Kenya')",1,,,
2340,Business,Nairobi,Kenya,"('Business', 'Nairobi', 'Kenya')",1,,,
2341,Butala,Bumala,Kenya,"('Butala', 'Bumala', 'Kenya')",1,,,
2342,Butati,Mbale,Uganda,"('Butati', 'Mbale', 'Uganda')",3,,,
2343,Butere,Butere,Kenya,"('Butere', 'Butere', 'Kenya')",2,,,
2344,Butere,Kakamega,Kenya,"('Butere', 'Kakamega', 'Kenya')",4,,,
2345,Butere,Nairobi,Kenya,"('Butere', 'Nairobi', 'Kenya')",1,,,
2346,Buterere,Bujumbura,Burundi,"('Buterere', 'Bujumbura', 'Burundi')",5,,,
2347,Buterere,Bujumbura,Kenya,"('Buterere', 'Bujumbura', 'Kenya')",2,,,
2348,Butiama,Butiama,Tanzania,"('Butiama', 'Butiama', 'Tanzania')",1,,,
2349,Butire,Butire,Mozambique,"('Butire', 'Butire', 'Mozambique')",1,,,
2350,Butula,Bumala,Kenya,"('Butula', 'Bumala', 'Kenya')",6,,,
2351,Butula,Bumala,Kenyan,"('Butula', 'Bumala', 'Kenyan')",1,,,
2352,Butula,Busia,Kenya,"('Butula', 'Busia', 'Kenya')",1,,,
2353,Butula,Nairobi,Kenya,"('Butula', 'Nairobi', 'Kenya')",1,,,
2354,Bututa,Bututa,Uganda,"('Bututa', 'Bututa', 'Uganda')",1,,,
2355,Buyafuthi,Germison,South Africa,"('Buyafuthi', 'Germison', 'South Africa')",1,,,
2356,Buyafuthi,Germiston,Sa,"('Buyafuthi', 'Germiston', 'Sa')",1,,,
2357,Buyafuthi,Johannesburg,South Africa,"('Buyafuthi', 'Johannesburg', 'South Africa')",3,,,
2358,Buyafuthi (Katlehong),Johannesburg,South Africa,"('Buyafuthi (Katlehong)', 'Johannesburg', 'South Africa')",1,,,
2359,Buyafuthi Hostel,Germiston,South Africa,"('Buyafuthi Hostel', 'Germiston', 'South Africa')",1,,,
2360,Buyafuthi Hostel,Johannesburg,South Africa,"('Buyafuthi Hostel', 'Johannesburg', 'South Africa')",1,,,
2361,Bwembwera,Bwembwera,Tanzania,"('Bwembwera', 'Bwembwera', 'Tanzania')",1,,,
2362,Bwiza,Bwiza,Burundi,"('Bwiza', 'Bwiza', 'Burundi')",4,,,
2363,Bwiza,Bwiza City,Burundi,"('Bwiza', 'Bwiza City', 'Burundi')",1,,,
2364,Cairo,Cairo,Egypt,"('Cairo', 'Cairo', 'Egypt')",4,,,
2365,Cairo,Cairo,Usa,"('Cairo', 'Cairo', 'Usa')",1,,,
2366,Calabar,Calabar,Nigeria,"('Calabar', 'Calabar', 'Nigeria')",1,,,
2367,Califonia,Dk,Usa,"('Califonia', 'Dk', 'Usa')",3,,,
2368,California,California,California,"('California', 'California', 'California')",1,,,
2369,California,California,Ghana,"('California', 'California', 'Ghana')",2,,,
2370,California,California,United States Of America,"('California', 'California', 'United States Of America')",10,,,
2371,California,California,Us,"('California', 'California', 'Us')",5,,,
2372,California,California,Us5,"('California', 'California', 'Us5')",1,,,
2373,California,California,Usa,"('California', 'California', 'Usa')",4,,,
2374,California,California City,United States Of America,"('California', 'California City', 'United States Of America')",4,,,
2375,California,Don'T Know,United States Of America,"('California', ""Don'T Know"", 'United States Of America')",1,,,
2376,California,Nairobi,Kenya,"('California', 'Nairobi', 'Kenya')",1,,,
2377,California,Usa,Usa,"('California', 'Usa', 'Usa')",7,,,
2378,Caltonville,Caltonville,South Africa,"('Caltonville', 'Caltonville', 'South Africa')",2,,,
2379,Caltonville,Johannesburg,South Africa,"('Caltonville', 'Johannesburg', 'South Africa')",4,,,
2380,Camaraa,Accra,Ghana,"('Camaraa', 'Accra', 'Ghana')",2,,,
2381,Can'T Tell,Na,Ghana,"(""Can'T Tell"", 'Na', 'Ghana')",1,,,
2382,Canada,Canada,Canada,"('Canada', 'Canada', 'Canada')",68,,,
2383,Canada,Canada,Kenya,"('Canada', 'Canada', 'Kenya')",1,,,
2384,Canada,Canada,United States Of America,"('Canada', 'Canada', 'United States Of America')",2,,,
2385,Canada,Canada,Usa,"('Canada', 'Canada', 'Usa')",3,,,
2386,Canada,Dk,Canada,"('Canada', 'Dk', 'Canada')",1,,,
2387,Canada,Don'T Know,Canada,"('Canada', ""Don'T Know"", 'Canada')",1,,,
2388,Canada,Little Canada,Canada,"('Canada', 'Little Canada', 'Canada')",3,,,
2389,Canada,Ottawa,Canada,"('Canada', 'Ottawa', 'Canada')",2,,,
2390,Canada,Quebec City,Canada,"('Canada', 'Quebec City', 'Canada')",3,,,
2391,Canada,Usa,Usa,"('Canada', 'Usa', 'Usa')",2,,,
2392,Cant Tell,Cant Tell,Cant Tell,"('Cant Tell', 'Cant Tell', 'Cant Tell')",1,,,
2393,Cantonment,Accra,Ghana,"('Cantonment', 'Accra', 'Ghana')",1,,,
2394,Cantonment,Osu,Ghana,"('Cantonment', 'Osu', 'Ghana')",1,,,
2395,Cantonments,Accra,Ghana,"('Cantonments', 'Accra', 'Ghana')",8,,,
2396,Cape,Cape Town,South Africa,"('Cape', 'Cape Town', 'South Africa')",2,,,
2397,Cape Coast,Accra,Ghana,"('Cape Coast', 'Accra', 'Ghana')",4,,,
2398,Cape Coast,Cape Coast,Ghana,"('Cape Coast', 'Cape Coast', 'Ghana')",28,,,
2399,Cape Coast,Mankassim,Ghana,"('Cape Coast', 'Mankassim', 'Ghana')",1,,,
2400,Cape Coast,Winnba,Ghana,"('Cape Coast', 'Winnba', 'Ghana')",1,,,
2401,Cape Coast,Winneba,Ghana,"('Cape Coast', 'Winneba', 'Ghana')",1,,,
2402,Cape Town,Cape Town,Cape,"('Cape Town', 'Cape Town', 'Cape')",1,,,
2403,Cape Town,Cape Town,South Africa,"('Cape Town', 'Cape Town', 'South Africa')",34,,,
2404,Cape Town,Don'T Know,South Africa,"('Cape Town', ""Don'T Know"", 'South Africa')",1,,,
2405,Cape Town,George,Sa,"('Cape Town', 'George', 'Sa')",1,,,
2406,Cape Town,Stellenbosch,Sa,"('Cape Town', 'Stellenbosch', 'Sa')",1,,,
2407,Cape- Coast,Cape-Coast,Ghana,"('Cape- Coast', 'Cape-Coast', 'Ghana')",1,,,
2408,Cape-Coast,Cape Coast,Ghana,"('Cape-Coast', 'Cape Coast', 'Ghana')",3,,,
2409,Cape-Coast,Cape-Coast,Ghana,"('Cape-Coast', 'Cape-Coast', 'Ghana')",7,,,
2410,Capecoast,Capecoast,Ghana,"('Capecoast', 'Capecoast', 'Ghana')",1,,,
2411,Capetown,Cape Town,South Africa,"('Capetown', 'Cape Town', 'South Africa')",2,,,
2412,Caren,Nairobi,Kenya,"('Caren', 'Nairobi', 'Kenya')",1,,,
2413,Carletonville,Johannesburg,South Africa,"('Carletonville', 'Johannesburg', 'South Africa')",1,,,
2414,Carlton,Melbourne,Australia,"('Carlton', 'Melbourne', 'Australia')",1,,,
2415,Carlton Ville Krugersdorp,Carlton Ville Krugersdorp,South Africa,"('Carlton Ville Krugersdorp', 'Carlton Ville Krugersdorp', 'South Africa')",1,,,
2416,Carnival City,Carnival City,South Africa,"('Carnival City', 'Carnival City', 'South Africa')",2,,,
2417,Carolina,Ermelo,South Africa,"('Carolina', 'Ermelo', 'South Africa')",1,,,
2418,Carwash,Kisumu,Kenya,"('Carwash', 'Kisumu', 'Kenya')",1,,,
2419,Casablanca,Casablanca,Morocco,"('Casablanca', 'Casablanca', 'Morocco')",1,,,
2420,Casual Jobs,-1,-1,"('Casual Jobs', '-1', '-1')",1,,,
2421,Casual Worker,Nairobi,Kenya,"('Casual Worker', 'Nairobi', 'Kenya')",1,,,
2422,Catalina Bay,Germiston,South Africa,"('Catalina Bay', 'Germiston', 'South Africa')",1,,,
2423,Catering,Johannesburg,South Africa,"('Catering', 'Johannesburg', 'South Africa')",1,,,
2424,Cbd,Nairobi,Kenya,"('Cbd', 'Nairobi', 'Kenya')",1,,,
2425,Cecil,Thohoyandou,South Africa,"('Cecil', 'Thohoyandou', 'South Africa')",1,,,
2426,Central  Bus District  Accra,Accra,Ghana,"('Central  Bus District  Accra', 'Accra', 'Ghana')",1,,,
2427,Central Business District ~ Accra,Accra,Ghana,"('Central Business District ~ Accra', 'Accra', 'Ghana')",1,,,
2428,Centurion,-1,-1,"('Centurion', '-1', '-1')",1,,,
2429,Centurion,Johannesburg,Sa,"('Centurion', 'Johannesburg', 'Sa')",1,,,
2430,Centurion,Johannesburg,South Africa,"('Centurion', 'Johannesburg', 'South Africa')",11,,,
2431,Centurion,Mall Of Africa,Sa,"('Centurion', 'Mall Of Africa', 'Sa')",1,,,
2432,Centurion,Midrand,Sa,"('Centurion', 'Midrand', 'Sa')",1,,,
2433,Centurion,Pretoria,South Africa,"('Centurion', 'Pretoria', 'South Africa')",6,,,
2434,Centurion,Pretoria,South Korea,"('Centurion', 'Pretoria', 'South Korea')",1,,,
2435,Chack Rasala,Shikhupora,Pakistan,"('Chack Rasala', 'Shikhupora', 'Pakistan')",5,,,
2436,Chack Rasala,Shikhupora,South Africa,"('Chack Rasala', 'Shikhupora', 'South Africa')",1,,,
2437,Chaka Rasala,Shikhupora,Pakistan,"('Chaka Rasala', 'Shikhupora', 'Pakistan')",3,,,
2438,Changamwe,Mombasa,Kenya,"('Changamwe', 'Mombasa', 'Kenya')",1,,,
2439,Changanas,Kericho,Kenya,"('Changanas', 'Kericho', 'Kenya')",1,,,
2440,Changni,Tamale,Ghana,"('Changni', 'Tamale', 'Ghana')",3,,,
2441,Changwamwe,Mombasa,Kenya,"('Changwamwe', 'Mombasa', 'Kenya')",2,,,
2442,Charlottenburg,Berlin,Germany,"('Charlottenburg', 'Berlin', 'Germany')",2,,,
2443,Charlottenburg,Berlin,Germanyo,"('Charlottenburg', 'Berlin', 'Germanyo')",1,,,
2444,Charlottenburg,Berlin,Ghana,"('Charlottenburg', 'Berlin', 'Ghana')",1,,,
2445,Chatham Island,Dk,New Zealand,"('Chatham Island', 'Dk', 'New Zealand')",1,,,
2446,Chattanooga,Chattanooga,Bangladesh,"('Chattanooga', 'Chattanooga', 'Bangladesh')",7,,,
2447,Chatwell,Johannesburg,South Africa,"('Chatwell', 'Johannesburg', 'South Africa')",3,,,
2448,Chavakali,Chavakali,Kenya,"('Chavakali', 'Chavakali', 'Kenya')",1,,,
2449,Check Point Kawangware,Nairobi,Kenya,"('Check Point Kawangware', 'Nairobi', 'Kenya')",1,,,
2450,Chelsea,Chelsea,United Kingdom,"('Chelsea', 'Chelsea', 'United Kingdom')",1,,,
2451,Chepseon,Kericho,Kenya,"('Chepseon', 'Kericho', 'Kenya')",4,,,
2452,Chepseon(Kericho),Nairobi,Kenya,"('Chepseon(Kericho)', 'Nairobi', 'Kenya')",1,,,
2453,Cheptur,Kaimosi,Kenya,"('Cheptur', 'Kaimosi', 'Kenya')",1,,,
2454,Chepturo,Mbale,Kenya,"('Chepturo', 'Mbale', 'Kenya')",4,,,
2455,Cherangani,Transnzoia,Kenya,"('Cherangani', 'Transnzoia', 'Kenya')",1,,,
2456,Chereponi,Kumasi,Ghana,"('Chereponi', 'Kumasi', 'Ghana')",3,,,
2457,Chereponi,Tamale,Ghana,"('Chereponi', 'Tamale', 'Ghana')",1,,,
2458,Cheshegu,Accra,Ghana,"('Cheshegu', 'Accra', 'Ghana')",1,,,
2459,Cheshegu,Cheshegu,Ghana,"('Cheshegu', 'Cheshegu', 'Ghana')",3,,,
