I was convinced by a friend^,1,Referred
friends^,1,Referred
My nephew convinced me to change^,1,Referred
Was motivated by problems a friend^,1,Referred
I followed my boss^,1,Referred
I followed friends ^,1,Referred
My aunty I stayed with in Kasoa was a Muslim. Everyone in the house was a Muslim so I also became one.^,1,Referred
My brother ^,1,Referred
Parents^,1,Referred
parents converted^,1,Referred
It's  a friend who influenced me.^,1,Referred
my parents we're there people who made me change the church^,1,Referred
my parents were taking me to church^,1,Referred
A Friend motivated me to join his church^,1,Referred
the lead by her sister^,1,Referred
I was invited by someone^,1,Referred
I was recruited by a neighbor^,1,Referred
impossible to attend church on Saturday due to work^,1,Schedule
Was busy most of the weekends^,1,Schedule
I am always at work^,1,Schedule
l am always busy^,1,Scheduling
,count,
-1,1371,
-3,2,
Spiritual Uplifting ^,2,
I had interest in going to church^,1,
I just decided not to go anymore^,1,
Separation from previous partner^,1,
still looking ^,1,
99^,1,
Can't find a church I like in Johannesburg^,1,
She said she needed connect to the Lord and that was the church she liked this side in Diepsloot^,1,
The was no branch for Pholoso~so I chose Apostolic church^,1,
spiritual Awakening^,1,
I did not understand the church^,1,
I changed when I was in my teen years~ it was the church I liked^,1,
Change of mind ^,1,
Personal decision and choice^,1,
Change of environment and follow up from my current church members^,1,
I use to do a lot of crime so I wanted to change^,1,
I just like the church ^,1,
muslim culture^,1,
went into drugs and stopped church because of peer pressure ^,1,
belong  to my ethic group ^,1,
none doesn't  attended  any church  since in kayole ^,1,
I felt I was not growing spiritually^,1,
felt like changing^,1,
My own volition. ^,1,
doctrines of the catholic church^,1,
the preaching  and they are social  to people ^,1,
Spiritual Revival^,1,
most people  from my country  of orgin attend the church^,1,
no orthodox around ^,1,
too old for church now^,1,
I felt inspired^,1,
In Pentecostal i didn't feel the presence of God like i do in Jesus Winner Ministry ^,1,
the nature if the doctrines^,1,
I was sick and it helped me^,1,
no^,1,
Freedom of Worship~ ^,1,
Personal reasons.^,1,
always belonged to the roman Chatholic church^,1,
