01,02,421 Local Police,421_short,421_legend,421_innRGB,421_outRGB,422 Local Councillor,422_short,422_legend,422_innRGB,422_outRGB,423 Mayor,423_short,423_legend,423_innRGB,423_outRGB,424 Chief or Traditional Leaders,424_short,424_legend,424_innRGB,424_outRGB,425 Local,425_short,425_legend,425_innRGB,425_outRGB,426 Local Country People,426_short,426_legend,426_innRGB,426_outRGB,427 Neighbours,427_short,427_legend,427_innRGB,427_outRGB,428 Local Service Providers,428_short,428_legend,428_innRGB,428_outRGB,429 Religious Leaders,429_short,429_legend,429_innRGB,429_outRGB,430 Other religious leaders,430_short,430_legend,430_innRGB,430_outRGB,431 Business people,431_short,431_legend,431_innRGB,431_outRGB,432 Judges,432_short,432_legend,432_innRGB,432_outRGB,433 Neighbours,433_short,433_legend,433_innRGB,433_outRGB,436 Home community,436_short,436_legend,436_innRGB,436_outRGB,438 Opinions,438_short,438_legend,438_innRGB,438_outRGB,439 Closeness,439_short,439_legend,439_innRGB,439_outRGB,440 Care,440_short,440_legend,440_innRGB,440_outRGB,441 Future,441_short,441_legend,441_innRGB,441_outRGB,442 Support,442_short,442_legend,442_innRGB,442_outRGB,443 Outsider,443_short,443_legend,443_innRGB,443_outRGB
Yes & No,Old Fadama,51,Old Fadama,"Yes & No, in Old Fadama (51 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],46,Old Fadama,"Yes & No, in Old Fadama (46 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],37,Old Fadama,"Yes & No, in Old Fadama (37 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],53,Old Fadama,"Yes & No, in Old Fadama (53 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],68,Old Fadama,"Yes & No, in Old Fadama (68 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],86,Old Fadama,"Yes & No, in Old Fadama (86 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],90,Old Fadama,"Yes & No, in Old Fadama (90 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],75,Old Fadama,"Yes & No, in Old Fadama (75 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],102,Old Fadama,"Yes & No, in Old Fadama (102 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],85,Old Fadama,"Yes & No, in Old Fadama (85 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],58,Old Fadama,"Yes & No, in Old Fadama (58 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Old Fadama (0 responses)",[0.98970588 0.58596426 0.42955984],[0.98823529 0.55294118 0.38431373]
Yes & No,James Town,64,James Town,"Yes & No, in James Town (64 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],60,James Town,"Yes & No, in James Town (60 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],49,James Town,"Yes & No, in James Town (49 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],52,James Town,"Yes & No, in James Town (52 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],71,James Town,"Yes & No, in James Town (71 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],63,James Town,"Yes & No, in James Town (63 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],70,James Town,"Yes & No, in James Town (70 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],39,James Town,"Yes & No, in James Town (39 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],42,James Town,"Yes & No, in James Town (42 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],100,James Town,"Yes & No, in James Town (100 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],60,James Town,"Yes & No, in James Town (60 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in James Town (0 responses)",[0.99117647 0.61908303 0.47493873],[0.98823529 0.55294118 0.38431373]
Yes & No,Kawangware,30,,"Yes & No, in Kawangware (30 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Kawangware (15 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],17,,"Yes & No, in Kawangware (17 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],14,,"Yes & No, in Kawangware (14 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],38,Kawangware,"Yes & No, in Kawangware (38 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],36,Kawangware,"Yes & No, in Kawangware (36 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],36,Kawangware,"Yes & No, in Kawangware (36 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Kawangware (15 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],21,,"Yes & No, in Kawangware (21 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],19,,"Yes & No, in Kawangware (19 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],27,,"Yes & No, in Kawangware (27 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kawangware (0 responses)",[0.99264706 0.6522975  0.52045037],[0.98823529 0.55294118 0.38431373]
Yes & No,Kayole,21,,"Yes & No, in Kayole (21 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],20,,"Yes & No, in Kayole (20 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],20,,"Yes & No, in Kayole (20 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],21,,"Yes & No, in Kayole (21 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],43,Kayole,"Yes & No, in Kayole (43 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],39,Kayole,"Yes & No, in Kayole (39 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],40,Kayole,"Yes & No, in Kayole (40 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],24,,"Yes & No, in Kayole (24 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Kayole (15 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],24,,"Yes & No, in Kayole (24 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],19,,"Yes & No, in Kayole (19 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Kayole (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373]
Yes & No,Ongata Rongai,25,,"Yes & No, in Ongata Rongai (25 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],26,,"Yes & No, in Ongata Rongai (26 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],18,,"Yes & No, in Ongata Rongai (18 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],18,,"Yes & No, in Ongata Rongai (18 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],33,Ongata Rongai,"Yes & No, in Ongata Rongai (33 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],30,,"Yes & No, in Ongata Rongai (30 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],36,Ongata Rongai,"Yes & No, in Ongata Rongai (36 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],21,,"Yes & No, in Ongata Rongai (21 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],5,,"Yes & No, in Ongata Rongai (5 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],13,,"Yes & No, in Ongata Rongai (13 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],17,,"Yes & No, in Ongata Rongai (17 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Ongata Rongai (0 responses)",[0.99558824 0.7190135  0.61187194],[0.98823529 0.55294118 0.38431373]
Yes & No,Berea,40,Berea,"Yes & No, in Berea (40 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],24,,"Yes & No, in Berea (24 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],17,,"Yes & No, in Berea (17 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],10,,"Yes & No, in Berea (10 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],38,Berea,"Yes & No, in Berea (38 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],42,Berea,"Yes & No, in Berea (42 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],40,Berea,"Yes & No, in Berea (40 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],32,,"Yes & No, in Berea (32 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Berea (15 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],46,Berea,"Yes & No, in Berea (46 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],26,,"Yes & No, in Berea (26 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Berea (0 responses)",[0.99705882 0.75251504 0.65778186],[0.98823529 0.55294118 0.38431373]
Yes & No,Katlehong,21,,"Yes & No, in Katlehong (21 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Katlehong (15 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],15,,"Yes & No, in Katlehong (15 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],12,,"Yes & No, in Katlehong (12 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],37,Katlehong,"Yes & No, in Katlehong (37 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],20,,"Yes & No, in Katlehong (20 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],30,,"Yes & No, in Katlehong (30 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],28,,"Yes & No, in Katlehong (28 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],8,,"Yes & No, in Katlehong (8 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],33,Katlehong,"Yes & No, in Katlehong (33 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],27,,"Yes & No, in Katlehong (27 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Katlehong (0 responses)",[0.99852941 0.78611227 0.70382455],[0.98823529 0.55294118 0.38431373]
Yes & No,Diepsloot,26,,"Yes & No, in Diepsloot (26 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],23,,"Yes & No, in Diepsloot (23 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],20,,"Yes & No, in Diepsloot (20 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],12,,"Yes & No, in Diepsloot (12 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],27,,"Yes & No, in Diepsloot (27 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],32,,"Yes & No, in Diepsloot (32 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],39,Diepsloot,"Yes & No, in Diepsloot (39 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],27,,"Yes & No, in Diepsloot (27 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],18,,"Yes & No, in Diepsloot (18 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],34,Diepsloot,"Yes & No, in Diepsloot (34 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],31,,"Yes & No, in Diepsloot (31 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Diepsloot (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373]
No,Madina,94,Madina,"No, in Madina (94 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],111,Madina,"No, in Madina (111 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],110,Madina,"No, in Madina (110 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],90,Madina,"No, in Madina (90 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],69,Madina,"No, in Madina (69 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],50,Madina,"No, in Madina (50 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],50,Madina,"No, in Madina (50 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],45,Madina,"No, in Madina (45 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],34,Madina,"No, in Madina (34 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],54,Madina,"No, in Madina (54 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],62,Madina,"No, in Madina (62 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],92,Madina,"No, in Madina (92 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],58,Madina,"No, in Madina (58 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],202,Madina,"No, in Madina (202 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],34,Madina,"No, in Madina (34 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],44,Madina,"No, in Madina (44 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],42,Madina,"No, in Madina (42 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],45,Madina,"No, in Madina (45 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],29,,"No, in Madina (29 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],172,Madina,"No, in Madina (172 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843]
No,Old Fadama,84,Old Fadama,"No, in Old Fadama (84 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],77,Old Fadama,"No, in Old Fadama (77 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],77,Old Fadama,"No, in Old Fadama (77 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],36,Old Fadama,"No, in Old Fadama (36 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],53,Old Fadama,"No, in Old Fadama (53 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],35,Old Fadama,"No, in Old Fadama (35 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],44,Old Fadama,"No, in Old Fadama (44 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],13,,"No, in Old Fadama (13 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],14,,"No, in Old Fadama (14 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],22,,"No, in Old Fadama (22 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],41,Old Fadama,"No, in Old Fadama (41 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],60,Old Fadama,"No, in Old Fadama (60 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],66,Old Fadama,"No, in Old Fadama (66 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],177,Old Fadama,"No, in Old Fadama (177 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],55,Old Fadama,"No, in Old Fadama (55 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],54,Old Fadama,"No, in Old Fadama (54 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],66,Old Fadama,"No, in Old Fadama (66 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],38,Old Fadama,"No, in Old Fadama (38 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],49,Old Fadama,"No, in Old Fadama (49 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843],120,Old Fadama,"No, in Old Fadama (120 responses)",[0.57633747 0.65148896 0.82156863],[0.55294118 0.62745098 0.79607843]
