location,dist,azimuth,location_type,city_8,orig_country_103
"('Palladium', 'Jamestown', 'Ghana')",0.44689194120600334,1.0288648999753573,1,Accra,Ghana
"('Abgado', 'Jamestown', 'Ghana')",0.44689194120600334,1.0288648999753573,1,Accra,Ghana
"('Jamestown', 'Jamestown', 'Ghana')",0.44689194120600334,1.0288648999753573,4,Accra,Ghana
"('Hillbrow', 'Berea', 'South Africa')",0.7974630690318818,-2.3389560357626613,2,Johannesburg,South Africa
"('Hillbrow', 'H', 'South Africa')",0.7974630690318818,-2.3389560357626613,1,Johannesburg,South Africa
"('Yeoville', 'Yeoville', 'South Africa')",1.211691162528875,-0.13563352708369447,1,Johannesburg,South Africa
"('Adenta', 'Adenta', 'Ghana')",1.967693780863146,1.6321607381661996,9,Accra,Ghana
"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,1,Accra,Ghana
"('Korle Gonno', 'Korle Gonno', 'Ghana')",2.08886682335669,-2.9705471495914035,3,Accra,Ghana
"('Korle Bu', 'Accra', 'Ghana')",2.2568468998615514,3.139836688636087,1,Accra,Ghana
"('Johannesburg', 'Berea', 'South Africa')",2.274879769871779,-1.7475468800886256,2,Johannesburg,South Africa
"('Circle', 'Circle', 'Ghana')",2.397121156626906,1.2480031943133472,1,Accra,Ghana
"('Adabraka', 'Adabraka', 'Ghana')",2.4564368464493174,0.920524026625745,1,Accra,Ghana
"('Atukpai', 'Accra', 'Ghana')",2.578224076611351,1.1686465786159905,1,Accra,Ghana
"('Kaneshie', 'Old Fadama', 'Ghana')",3.177840796793773,2.3259023067456144,2,Accra,Ghana
"('Mamprobi', 'Jamestown', 'Ghana')",3.3072338423847025,-3.137856484498071,1,Accra,Ghana
"('Melville', 'Melville', 'South Africa')",4.757846194171421,2.9951410181353713,1,Johannesburg,South Africa
"('Legon', 'Legon', 'Ghana')",4.9427648588716195,-2.0999440765517345,7,Accra,Ghana
"('Kaneshie', 'Kaneshie', 'Ghana')",5.158768373744624,2.3223660780369166,5,Accra,Ghana
"('Otublohum', 'Accra', 'Ghana')",5.255665128981602,1.788948683511223,1,Accra,Ghana
"('nan', 'Otublohum Street', 'Ghana')",5.255665128981602,1.788948683511223,1,Accra,Ghana
"('Malvern', 'East London', 'South Africa')",5.707028501467533,-0.33633624487445146,1,Johannesburg,South Africa
"('La', 'Accra', 'Ghana')",6.433132742083135,0.43657443542830676,2,Accra,Ghana
"('Nairobi', 'Nairobi', 'Kenya')",7.292625401689183,-0.05864104130538112,29,Nairobi,Kenya
"(' Fourways', ' Fourways', 'South Africa')",7.320956784990286,-1.6721118402375497,13,Johannesburg,South Africa
"('Blairgowrie', 'Johannesburg', 'South Africa')",8.642681405000786,2.1987091379693378,1,Johannesburg,South Africa
"('Alberton', 'Alberton', 'South Africa')",8.825800202074923,1.8769982676700454,10,Johannesburg,South Africa
"('Gomora', 'Alexandra', 'South Africa')",9.161545646139178,0.9868492570334196,1,Johannesburg,South Africa
"('Germiston', 'Katlehong', 'South Africa')",11.206976085850114,1.2748950593209036,2,Johannesburg,South Africa
"('Germiston', 'Germiston', 'South Africa')",11.206976085850114,1.2748950593209036,19,Johannesburg,South Africa
"('Ramkonopi', 'Germiston', 'South Africa')",11.206976085850114,1.2748950593209036,1,Johannesburg,South Africa
"('Nima', 'Nima', 'Ghana')",12.12622969311407,-1.8579844666426064,3,Accra,Ghana
"('Diepkloof', 'Diepkloof', 'South Africa')",12.842755795740882,-2.666277567822085,1,Johannesburg,South Africa
"('Rafiki', ""Mkang'ombe"", 'Kenya')",12.916017205782213,0.8901349376387483,1,Nairobi,Kenya
"('Teshie', 'Teshie', 'Ghana')",13.06208051854956,-1.0941830615065484,1,Accra,Ghana
"('Labadi', 'Labadi', 'Ghana')",14.099548506676463,-1.4917921981081894,1,Accra,Ghana
"('Sandton', 'Sandton', 'South Africa')",14.122173090490453,-1.2724117926607788,5,Johannesburg,South Africa
"('Accra', 'Accra', 'Ghana')",14.8727744293017,-1.8227598953945459,42,Accra,Ghana
"('Maritzburg', 'Maritzburg', 'South Africa')",16.158675506263727,2.23335236485368,1,Johannesburg,South Africa
"('Randburg', 'Randburg', 'South Africa')",16.718497880290133,-1.8082779087506078,3,Johannesburg,South Africa
"('Johannesburg', 'Johannesburg', 'South Africa')",17.281376831528767,2.278070464847386,37,Johannesburg,South Africa
"('Tema', 'Tema', 'Ghana')",17.729620306110053,-0.16940640747343985,4,Accra,Ghana
"('Korle Bu', 'Korle Bu', 'Ghana')",18.163831184196287,-1.9648575591715705,1,Accra,Ghana
"('Soweto', 'Naledi', 'South Africa')",18.535022445418488,-2.924450920101656,1,Johannesburg,South Africa
"('Soweto', 'Diepkloof', 'South Africa')",18.535022445418488,-2.924450920101656,1,Johannesburg,South Africa
"('Nancefield', 'Nancefield', 'South Africa')",19.567409462089625,-2.47047928478455,1,Johannesburg,South Africa
"('Tembisa', 'Tembisa', 'South Africa')",22.730397131250417,0.7632640078391699,1,Johannesburg,South Africa
"('Zaza', 'Zaza', 'South Africa')",22.85846858682719,-0.3294020495874647,1,Johannesburg,South Africa
"('Kiambu', 'Kiambu', 'Kenya')",23.691418564877555,2.063757248081799,6,Nairobi,Kenya
"('Kempton Park', 'Kempton Park', 'South Africa')",25.47625071666198,1.202632997160804,2,Johannesburg,South Africa
"('Thika', 'Thika', 'Kenya')",27.098240105490643,0.8519303749654082,2,Nairobi,Kenya
"('Benoni', 'Benoni', 'South Africa')",28.269049038635053,-0.03752643867784306,1,Johannesburg,South Africa
"('Mamfe', 'Mamfe', 'Ghana')",28.75049264861433,1.3631970838426644,1,Accra,Ghana
"('Gatundu', 'Gatundu', 'Kenya')",29.029020367728723,0.9391493610130172,1,Nairobi,Kenya
"('Krugersdorp', 'Krugersdorp', 'South Africa')",30.676637283959373,-2.5843070258004732,1,Johannesburg,South Africa
"('Soweto', 'Molapo', 'South Africa')",31.674956266021496,-2.005141937695229,1,Johannesburg,South Africa
"('Nsawam', 'Nsawam', 'Ghana')",34.43759158596646,2.0206478973093844,3,Accra,Ghana
