location,dist,azimuth,location_type,city_8,orig_country_103
"('Kakamega', 'Kakamega', 'Kenya')",269.3386015035923,2.4945118495864844,18,Nairobi,Kenya
"('Qwaqwa', 'Qwaqwa', 'South Africa')",270.0659701744968,-1.2272485609130388,1,Johannesburg,South Africa
"('nan', 'eMnambithi', 'South Africa')",271.1820318693481,-0.8377725069276881,1,Johannesburg,South Africa
"('nan', 'Maseno', 'Kenya')",271.74214040531604,2.6964083996656583,1,Nairobi,Kenya
"('Migori', 'Migori', 'Kenya')",271.9435161483056,3.0543637670520813,12,Nairobi,Kenya
"('Kamina', 'Lome', 'Togo')",273.5108336538051,1.1446227365868404,1,Accra,Togo
"('Vihiga', 'Vihiga', 'Kenya')",273.73524222983235,2.673031422639,1,Nairobi,Kenya
"('Homa Bay', 'Homa Bay', 'Kenya')",277.59287427028966,2.902348612376076,8,Nairobi,Kenya
"('Polokwane', 'Polokwane', 'South Africa')",278.3579243165202,1.0118161426740377,7,Johannesburg,South Africa
"('Webuye', 'Webuye', 'Kenya')",278.3693887577037,2.4724131516935346,1,Nairobi,Kenya
"('Rabuor', 'Rabuor', 'Kenya')",279.3582121490707,2.8954257649658777,1,Nairobi,Kenya
"('Amsterdam', 'Amsterdam', 'South Africa')",280.19777415516705,-0.09871448151799002,1,Johannesburg,South Africa
"('Asante Camp No.1', 'Mampong', 'Ghana')",282.3924725369168,2.76602980600389,1,Accra,Ghana
"('Kitale', 'Kitale', 'Kenya')",284.1893777695408,2.311867853982756,5,Nairobi,Kenya
"('Luanda', 'Luanda', 'Kenya')",284.5920935548253,2.9859915938420056,1,Nairobi,Kenya
"('Maputsoe', 'Maputsoe', 'Lesotho')",285.10376231231095,-1.3776073974766136,1,Johannesburg,Lesotho
"('Yamfo', 'Sunyani', 'Ghana')",285.8343070089004,2.501318793149138,1,Accra,Ghana
"('Old Estate', 'Koforidua', 'Ghana')",286.9044751743338,2.702145908395348,1,Accra,Ghana
"('Bergville', 'Bergville', 'South Africa')",287.6347573188842,-1.0363059698866959,1,Johannesburg,South Africa
"('Sabatia', 'Sabatia', 'Kenya')",287.6810080691183,2.5960287047357453,1,Nairobi,Kenya
"('Allada', 'Allada', 'Benin')",288.02947563871953,0.4490882661330095,1,Accra,Benin
"('Leribe', 'Leribe', 'Lesotho')",288.7339119630349,-1.5405821861776843,1,Johannesburg,Lesotho
"('Tanoso', 'Tanoso', 'Ghana')",289.78484714171503,2.484216422478346,1,Accra,Ghana
"('Dundee', 'Dundee', 'South Africa')",291.15344704147105,-0.6469254972652675,1,Johannesburg,South Africa
"('Bungoma', 'Bungoma', 'Kenya')",292.6090764245548,2.4400610760694668,7,Nairobi,Kenya
"('Bondo', 'Bondo', 'Kenya')",294.96378323617665,2.764501631469556,2,Nairobi,Kenya
"('Trans-Nzoia', 'Transzoia', 'Kenya')",295.47905981288744,2.286682957524064,1,Nairobi,Kenya
"('Trans-Nzoia', 'Trans Nzoia', 'Kenya')",295.47905981288744,2.286682957524064,1,Nairobi,Kenya
"('Gbagemey', 'Cotonou', 'Benin')",296.56883694879787,0.2584193236349396,1,Accra,Benin
"('nan', 'Cotonou', 'Benin')",296.56883694879787,0.2584193236349396,1,Accra,Benin
"('Techiman', 'Techiman', 'Ghana')",297.38792621906805,2.267852159790695,3,Accra,Ghana
"('Kimilili', 'Kimilili', 'Kenya')",299.7626681374419,2.412721939770304,1,Nairobi,Kenya
"('Ladysmith', 'Ladysmith', 'South Africa')",299.91066563380554,-0.8696941389088738,1,Johannesburg,South Africa
"('Maseru', 'Maseru', 'Lesotho')",302.1119041317524,-1.8080279300736264,7,Johannesburg,Lesotho
"('Odumase', 'Odumase', 'Ghana')",302.1225281094931,2.4737218147082447,1,Accra,Ghana
"('Pitseng', 'Pitseng', 'Lesotho')",302.2955591186379,-1.4870190622681894,1,Johannesburg,Lesotho
"('Abomey', 'Abomey', 'Benin')",302.8415811498692,0.6420278598541989,1,Accra,Benin
"('Ugunja', 'Ugunja', 'Kenya')",302.8583871368637,2.681741996151472,1,Nairobi,Kenya
"('nan', 'Free State', 'South Africa')",303.6228159636261,-2.208560865395239,1,Johannesburg,South Africa
"('Yeji', 'Yeji', 'Ghana')",303.64649540263855,1.7313288162553095,1,Accra,Ghana
"('Siaya Town', 'Siaya Town', 'Kenya')",303.78945223980736,2.684433124032429,1,Nairobi,Kenya
"('Siaya', 'Siaya', 'Kenya')",303.89854685398416,2.763088603861669,18,Nairobi,Kenya
"('Cotonou', 'Cotonou', 'Benin')",305.78479477261305,0.30750886723364373,1,Accra,Benin
"('Mumias', 'Mumias', 'Kenya')",305.91380579620886,2.639552781141695,2,Nairobi,Kenya
"('Butiama', 'Butiama', 'Tanzania')",308.2923857821494,-3.011735105553841,1,Nairobi,Tanzania
"('Sunyani', 'Sunyani', 'Ghana')",308.5856291072181,2.4341399875357763,1,Accra,Ghana
"('Limpopo', 'Limpopo', 'South Africa')",311.92902600260504,1.1007175338412625,1,Johannesburg,South Africa
"('Nkwanta', 'Nkwanta', 'Ghana')",313.09867977377246,1.3049302758228012,1,Accra,Ghana
"('Busia', 'Busia', 'Kenya')",313.8751343304977,2.6361740317196785,11,Nairobi,Kenya
"('Bumala', 'Bumala', 'Kenya')",317.15951734968655,2.6639011843295886,2,Nairobi,Kenya
"('nan', 'Porto-Novo', 'Benin')",321.80636991657815,0.28473608744506207,1,Accra,Benin
"('Vryheid', 'Vryheid', 'South Africa')",323.6485775256828,-0.43741096577399635,2,Johannesburg,South Africa
"('Nelspruit', 'Thsh', 'South Africa')",324.8728194290794,0.2547237978965006,1,Johannesburg,South Africa
"('Mbombela', 'Mbombela', 'South Africa')",324.8728194290794,0.2547237978965006,1,Johannesburg,South Africa
"('Nelspruit', 'Nelspruit', 'South Africa')",324.8728194290794,0.2547237978965006,4,Johannesburg,South Africa
"('Mondlo', 'Mondlo', 'South Africa')",325.18521315363074,-0.49745481677465003,1,Johannesburg,South Africa
"('Kpandai', 'Kpandai', 'Ghana')",325.2974589270165,1.4992377793927625,3,Accra,Ghana
"('Malaba', 'Malaba', 'Kenya')",325.4144792298569,2.5699736039295167,1,Nairobi,Kenya
"('Piet Retief', 'Piet Retief', 'South Africa')",327.1465819572353,-0.32022831398069124,1,Johannesburg,South Africa
"('Tzaneen', 'Tzaneen', 'South Africa')",330.29706030942737,0.8200131926681239,3,Johannesburg,South Africa
"('Porto-Novo', 'Porto-Novo', 'Benin')",331.3750862205213,0.3293084297427003,6,Accra,Benin
"('Porto-Novo', 'Cotonou', 'Benin')",331.3750862205213,0.3293084297427003,1,Accra,Benin
"('Berekum', 'Berekum', 'Ghana')",331.40455197156257,2.507930610914181,1,Accra,Ghana
"('Kpassa', 'Kpassa', 'Ghana')",332.5698479333934,1.3930033329566551,2,Accra,Ghana
"('Thaba Tseka', 'Thaba Tseka', 'Lesotho')",333.2160563042247,-1.3713447167555566,1,Johannesburg,Lesotho
"('Nqutu', 'Nquthu', 'South Africa')",333.71939657680724,-0.5697694134089286,2,Johannesburg,South Africa
"('nan', 'Nqutu', 'South Africa')",333.71939657680724,-0.5697694134089286,2,Johannesburg,South Africa
"('Nqutu', 'Nqutu', 'South Africa')",333.71939657680724,-0.5697694134089286,3,Johannesburg,South Africa
"('Funyula', 'Funyula', 'Kenya')",334.7851318419045,2.669004503347395,1,Nairobi,Kenya
"('nan', 'Bududa', 'Uganda')",335.2293702430805,2.451463664544785,1,Nairobi,Uganda
"('nan', 'Bungati', 'Uganda')",335.24256266516994,2.475713164064049,1,Nairobi,Uganda
"('nan', 'Bushika', 'Uganda')",340.78609692984577,2.4617712120799466,1,Nairobi,Uganda
"('Mbaale', 'Mbaale', 'Uganda')",343.6660538007672,2.6805412001336566,1,Nairobi,Uganda
"('Tororo', 'Tororo', 'Uganda')",346.3854634153952,2.573472361472318,2,Nairobi,Uganda
"('Wulensi', 'Wulensi', 'Ghana')",346.6277788261947,1.4994102452108529,1,Accra,Ghana
"('nan', 'Msinga', 'South Africa')",347.27722263159404,-0.7116752963370987,2,Johannesburg,South Africa
"('Msinga', 'Msinga', 'South Africa')",347.27722263159404,-0.7116752963370987,1,Johannesburg,South Africa
"('Lwanda', 'Lwanda', 'Kenya')",347.782577730597,2.7104601330537514,1,Nairobi,Kenya
"('Louis Trichardt', 'Louis Trichardt', 'South Africa')",351.64022293383266,0.9182029107806158,4,Johannesburg,South Africa
"('Makhado', 'Makhado', 'South Africa')",351.64022293383266,0.9182029107806158,5,Johannesburg,South Africa
"('nan', 'Sironko', 'Uganda')",352.373784316944,2.4410690195368083,1,Nairobi,Uganda
"('nan', 'Elim', 'South Africa')",352.79235563061724,0.859529532857571,1,Johannesburg,South Africa
"('Elim', 'Elim', 'South Africa')",352.79235563061724,0.859529532857571,1,Johannesburg,South Africa
"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",354.63104502468434,0.4171923169164563,2,Johannesburg,South Africa
"('Bloemfontein', 'Bloemfontein', 'South Africa')",355.05923063048886,-2.169773277856956,1,Johannesburg,South Africa
"('Hazyview', 'Hazyview', 'South Africa')",358.232931421996,0.30798047712541404,1,Johannesburg,South Africa
"('Pumwani', 'Nairobi', 'Kenya')",358.79075742427807,0.018690081248837094,1,Nairobi,Kenya
"('Bulambuli', 'Bulambuli', 'Uganda')",363.8043972597371,2.410809987704609,1,Nairobi,Uganda
"('Epe', 'Epe', 'Nigeria')",364.95695975630554,0.22439864353835942,1,Accra,Nigeria
"('Mkhuhlu', 'Mkhuhlu', 'South Africa')",367.36203348635996,0.36083628873116497,1,Johannesburg,South Africa
"('Namaingo', 'Namaingo', 'Uganda')",367.9355136047399,2.726216894876912,2,Nairobi,Uganda
"('nan', 'KwaZulu-Natal', 'South Africa')",368.8431736160182,-0.5961685878960682,2,Johannesburg,South Africa
"('Nqutu', 'KwaZulu-Natal', 'South Africa')",369.2772484234723,-0.6351809556398215,1,Johannesburg,South Africa
"('Bimbilla', 'Bimbilla', 'Ghana')",369.80232048737537,1.4875734238021574,1,Accra,Ghana
"('Ikotun', 'Ikotun', 'Nigeria')",369.97788289391184,0.23207680803161945,1,Accra,Nigeria
"('Bimbilla', 'Bimbila', 'Ghana')",371.14339572247235,1.4915053787148866,3,Accra,Ghana
"('Thulamahashe', 'Thulamahashe', 'South Africa')",372.96129575119465,0.4257897041450096,1,Johannesburg,South Africa
"('Agbara', 'Agbara', 'Nigeria')",382.5250440140278,0.2816150350476231,1,Accra,Nigeria
"('nan', 'Block', 'Kenya')",384.42015146028274,-0.6392756737203481,1,Nairobi,Kenya
"('Malelane', 'Malelane', 'South Africa')",388.83360975223434,0.16894234542090916,1,Johannesburg,South Africa
"('Bombolulu', 'Bombolulu', 'Kenya')",391.71300774751325,-0.649344408385869,1,Nairobi,Kenya
"('Lagos State', 'Lagos State', 'Nigeria')",392.12842000503935,0.2652915346103396,1,Accra,Nigeria
"('Mafeteng', 'Mafeteng', 'Lesotho')",393.4780395262897,-1.7740462861063195,1,Johannesburg,Lesotho
"('Nkandla', 'Nkandla', 'South Africa')",393.6509953436393,-0.5861684643750059,2,Johannesburg,South Africa
"('Greytown', 'Greytown', 'South Africa')",396.39347596196734,-0.7706457017713767,1,Johannesburg,South Africa
"('Matatiele', 'Matatiele', 'South Africa')",398.7452666686195,-1.3694962931601269,4,Johannesburg,South Africa
"('Festac Town', 'Lagos', 'Nigeria')",400.07054114696155,0.26219122159844355,1,Accra,Nigeria
"('Pietermaritzburg', 'Pietermaritzburg', 'South Africa')",401.7629643303337,-0.8952229646837812,2,Johannesburg,South Africa
"('Kilindini', 'Kilingini', 'Kenya')",402.8712033742668,-0.6322081403807326,1,Nairobi,Kenya
"('Lewis Face One', 'Lagos', 'Nigeria')",403.03251865193226,0.21366811924155849,1,Accra,Nigeria
"('Lagos', 'Lagos', 'Nigeria')",403.03251865193226,0.21366811924155849,18,Accra,Nigeria
"('Somolu', 'Lagos', 'Nigeria')",403.4865058387823,0.23722360697680592,1,Accra,Nigeria
"('Mombasa', 'Mombasa', 'Kenya')",404.51900426975857,-0.6288023343472984,3,Nairobi,Kenya
"('Kisauni', 'Mombasa', 'Kenya')",404.5734290887438,-0.6221336990136075,1,Nairobi,Kenya
"('Garissa', 'Garissa', 'Kenya')",405.52070786987457,0.15889764510472928,2,Nairobi,Kenya
"('Ejigbo', 'Lagos', 'Nigeria')",405.855225590654,0.2780808322969112,1,Accra,Nigeria
"('New Castle', 'Madadeni', 'South Africa')",406.71262370269596,0.12290014977730077,1,Johannesburg,South Africa
"('Bwembwera', 'Bwembwera', 'Tanzania')",408.45608464043556,-0.986685745386614,1,Nairobi,Tanzania
"('Surulere', 'Lagos', 'Nigeria')",408.9441162466986,0.25800898269219696,1,Accra,Nigeria
"('Giyani', 'Giyani', 'South Africa')",409.19994036250705,0.7863705139052295,1,Johannesburg,South Africa
"('Ulundi', 'Ulundi', 'South Africa')",409.52351282324787,-0.4709171557009894,1,Johannesburg,South Africa
"('nan', 'Tlakgameng', 'South Africa')",409.84719644314845,-3.007918246074159,1,Johannesburg,South Africa
"('Techaoudjo', 'Sokode', 'Togo')",411.17017819283404,1.1967376334058415,1,Accra,Togo
"('Sokode', 'Sokode', 'Togo')",411.17017819283404,1.1967376334058415,3,Accra,Togo
"('nan', 'Nkandla', 'South Africa')",411.23130821331154,-0.6014459167001489,1,Johannesburg,South Africa
"('Ebute Metta', 'Lagos', 'Nigeria')",412.377251697034,0.2555433891838619,1,Accra,Nigeria
"('Ikeja', 'Lagos', 'Nigeria')",412.4744585964901,0.28868535979263776,1,Accra,Nigeria
"('nan', 'Goria', 'Uganda')",412.5840215079405,2.4800774521753355,1,Nairobi,Uganda
"('Victoria Island', 'Victoria Island', 'Nigeria')",413.26940578386296,0.24287293011752745,1,Accra,Nigeria
"('Selebi-Phikwe', 'Selebi-Phikwe', 'Botswana')",414.36146175495804,1.6113570525506005,1,Johannesburg,Botswana
"('Thohoyandou', 'Thohoyandou', 'South Africa')",415.5617493535323,0.8933095054468011,9,Johannesburg,South Africa
"('Madadeni', 'Emadadeni', 'South Africa')",415.90247342982946,0.08434990165638438,1,Johannesburg,South Africa
"('Workshop', 'Workshop', 'South Africa')",418.82521827055285,-0.9029841688968491,1,Johannesburg,South Africa
"('Siteki', 'Siteki', 'Eswatini')",420.85765206061166,-0.02586458006746065,1,Johannesburg,Eswatini
"('Abidjan', 'Abidjan', ""Côte d'Ivoire"")",421.5062591795676,-3.0847619353159623,4,Accra,Ivory Coast
"('Tanga', 'Tanga', 'Tanzania')",421.9936410158167,-0.9110380288787542,1,Nairobi,Tanzania
"('Cocody', 'Abidjan', ""Côte d'Ivoire"")",424.78060367757445,-3.0553777232680677,1,Accra,Ivory Coast
"('Jinja', 'Jinja', 'Uganda')",425.2436407559043,2.7297698225239873,1,Nairobi,Uganda
"('Nongoma', 'Nongoma', 'South Africa')",426.1155771439404,-0.35632972009347086,1,Johannesburg,South Africa
"('Ikorodu', 'Ikorodu', 'Nigeria')",428.93448345527196,0.2811256998743242,1,Accra,Nigeria
"('Malamulele', 'Malamulele', 'South Africa')",429.4275310270833,0.8392537806889628,2,Johannesburg,South Africa
"('Ogun State', 'Ogun State', 'Nigeria')",431.7400706529409,0.4258340867888096,1,Accra,Nigeria
"('Tatale', 'Tatale', 'Ghana')",431.89482748524296,1.3777936758703164,1,Accra,Ghana
"('Abeokuta', 'Abeokuta', 'Nigeria')",432.6087594014844,0.429197828974588,1,Accra,Nigeria
"('Musina', 'Musina', 'South Africa')",432.979360892313,1.0251762200491081,1,Johannesburg,South Africa
"('Changi', 'Tamale', 'Ghana')",433.6823170140253,1.7279766385669837,1,Accra,Ghana
"('Yendi', 'Yendi', 'Ghana')",434.57316639042193,1.5151293599913636,4,Accra,Ghana
"('Tamale', 'Tamale', 'Ghana')",434.7022239878956,1.7293862176783077,27,Accra,Ghana
"('Bawah Barracks', 'Tamale', 'Ghana')",434.7022239878956,1.7293862176783077,1,Accra,Ghana
"('Mwanza', 'Busukuma', 'Tanzania')",441.9533361233236,-2.875518741696839,1,Nairobi,Tanzania
"('Tolon', 'Tolon', 'Ghana')",442.25013258657333,1.7837350148691324,1,Accra,Ghana
"('nan', 'Cheshegu', 'Ghana')",442.6374075712787,1.7550490065602407,2,Accra,Ghana
"('Savelugu', 'Savelugu', 'Ghana')",458.72824217006377,1.7170174999497003,1,Accra,Ghana
"('Mbalala', 'Mbalala', 'Uganda')",461.7486566705846,2.801164480039457,1,Nairobi,Uganda
"('Durban', 'Durban', 'South Africa')",465.7122299574346,-0.8075893573286347,5,Johannesburg,South Africa
"('Shinyanga', 'Shinyanga', 'Tanzania')",467.8819960912981,-2.620796770813974,1,Nairobi,Tanzania
"('Nomlatu', 'Bizana', 'South Africa')",479.10017890972426,-1.1471703056416913,1,Johannesburg,South Africa
"('Maphisa', 'Maphisa', 'Zimbabwe')",480.0168746827705,1.447324721421064,1,Johannesburg,Zimbabwe
"('Sawla', 'Sawla', 'Ghana')",480.05076593143804,2.1004508463888576,1,Accra,Ghana
"('Hluhluwe', 'Hluhluwe', 'South Africa')",484.26239433965975,-0.33302750070972753,1,Johannesburg,South Africa
"('Durban', 'Bluff', 'South Africa')",484.31410117037905,-0.8120845325343682,1,Johannesburg,South Africa
"('Kampala', 'Kampala', 'Uganda')",485.18716452877624,2.8272973504938177,11,Nairobi,Uganda
"('Gushiegu', 'Gushiegu', 'Ghana')",486.4224002115568,1.5695676279001272,3,Accra,Ghana
"('Makola', 'Ibadan', 'Nigeria')",487.2688464919524,0.39608568109299136,1,Accra,Nigeria
"('Khongoloti', 'Maputo', 'Mozambique')",490.89592877639944,0.07136902194120785,2,Johannesburg,Mozambique
"('Nyembani', 'Maputo', 'Mozambique')",490.89592877639944,0.07136902194120785,1,Johannesburg,Mozambique
"('Maputu', 'Maputu', 'Mozambique')",490.89592877639944,0.07136902194120785,1,Johannesburg,Mozambique
"('Maputo', 'Maputo', 'Mozambique')",490.89592877639944,0.07136902194120785,14,Johannesburg,Mozambique
"('Shamankulu', 'Maputo', 'Mozambique')",490.89592877639944,0.07136902194120785,1,Johannesburg,Mozambique
"('Moyale', 'Moyale', 'Ethiopia')",493.41576361067854,1.0017591078392976,1,Nairobi,Ethiopia
"('nan', 'KwaMashu', 'South Africa')",493.4816512884858,-0.8299881967038412,1,Johannesburg,South Africa
"('nan', 'Matola', 'Mozambique')",494.03034437449963,-0.00685119785457303,1,Johannesburg,Mozambique
"('nan', 'Gombe', 'Uganda')",497.7265837785049,2.8054166872191093,1,Nairobi,Uganda
"('Ojo', 'Ilesa', 'Nigeria')",499.4314949443495,0.5979197482717562,1,Accra,Nigeria
"('Riverside', 'Riverside', 'South Africa')",501.9021191506634,-0.8285127629904332,1,Johannesburg,South Africa
"('Tabankulu', 'Tabankulu', 'South Africa')",511.87443952285844,-1.2665003693020562,1,Johannesburg,South Africa
"('nan', 'Lusikisiki', 'South Africa')",514.8676368936775,-1.238771493698234,1,Johannesburg,South Africa
"('Parakou', 'Parakou', 'Benin')",526.6216986184209,0.9287625952875275,1,Accra,Benin
"('Plumtree', 'Plamtry', 'Zimbabwe')",536.262289044858,1.590889450404897,1,Johannesburg,Zimbabwe
"('Plumtree', 'Plumtree', 'Zimbabwe')",536.262289044858,1.590889450404897,2,Johannesburg,Zimbabwe
"('Bukoba', 'Bukoba', 'Tanzania')",548.7143700973836,-3.133695825358631,1,Nairobi,Tanzania
"('Chokwe', 'Chokwe', 'Mozambique')",551.3634517403924,0.3198208017656589,2,Johannesburg,Mozambique
"('Plumtree', 'Old Lobengula', 'Zimbabwe')",561.0725436683291,1.5964114307147617,1,Johannesburg,Zimbabwe
"('Wa', 'Wa', 'Ghana')",562.1286738132862,2.037191635734372,3,Accra,Ghana
"('Macia', 'Macia', 'Mozambique')",562.1735315019383,0.21934911897384393,1,Johannesburg,Mozambique
"('Queenstown', 'Queenstown', 'South Africa')",566.5426026329923,-1.7998893759703196,1,Johannesburg,South Africa
"('Ife', 'Ife', 'Nigeria')",569.9541034842644,0.3862212694105262,1,Accra,Nigeria
"('Bulawayo', 'Thsh', 'Zimbabwe')",570.003710098564,1.4343560163887097,1,Johannesburg,Zimbabwe
"('Bilene', 'Bilene', 'Mozambique')",573.4328407333085,0.1816813697984445,1,Johannesburg,Mozambique
"('Millionaire', 'Yamoussoukro', ""Côte d'Ivoire"")",575.7986469798013,2.8962064584374767,1,Accra,Ivory Coast
"('nan', 'Hokwe', 'Mozambique')",584.6084551004576,0.20004437674130424,1,Johannesburg,Mozambique
"('Bolgatanga', 'Bolgatanga', 'Ghana')",586.9978464999019,1.689376857420973,14,Accra,Ghana
"('Navrongo', 'Navorongo', 'Ghana')",588.3972269386385,1.7450643160089274,1,Accra,Ghana
"('Sandema', 'Sandema', 'Ghana')",589.1726000189866,1.7723310355849682,1,Accra,Ghana
"('Gaza', 'Gaza', 'Mozambique')",591.4532496060776,0.49738909124107406,1,Johannesburg,Mozambique
"('Bulawayo', 'Bulawayo', 'Zimbabwe')",593.8845682246026,1.4458602979638195,27,Johannesburg,Zimbabwe
"('Makokoba', 'Zimbabwe', 'Zimbabwe')",595.1505599924742,1.4485568765504584,1,Johannesburg,Zimbabwe
"('Mzilikazi', 'Mzilikazi', 'Zimbabwe')",596.5073754717777,1.4501514627460392,1,Johannesburg,Zimbabwe
"('Dutywa', 'Dutywa', 'South Africa')",606.4429417908494,-1.491744081866139,1,Johannesburg,South Africa
"('Ntabazinduna', 'Bulawayo', 'Zimbabwe')",608.1401833957323,1.3993731904256268,1,Johannesburg,Zimbabwe
"('Paga', 'Paga', 'Ghana')",611.2159409981086,1.7309472495382572,1,Accra,Ghana
"('nan', 'Timbou', 'Togo')",613.5597390329104,1.5129770803980644,1,Accra,Togo
"('Ilorin', 'Ilorin', 'Nigeria')",620.6870038650464,0.5585042768793178,3,Accra,Nigeria
"('Tumu', 'Wa', 'Ghana')",624.0550151220789,1.88922877211329,1,Accra,Ghana
"('Tsholotsho', 'Tsholotsho', 'Zimbabwe')",625.7063106040166,1.6738209824540051,1,Johannesburg,Zimbabwe
"('Xai-Xai', 'Xai-Xai', 'Mozambique')",629.9225793294959,0.1311385978513194,2,Johannesburg,Mozambique
"('Xai Xai', 'Xai Xai', 'Mozambique')",629.9225793294959,0.1311385978513194,2,Johannesburg,Mozambique
"('Lawra', 'Lawra', 'Ghana')",639.1124033573469,2.0519699343811664,2,Accra,Ghana
"('Dikeni', 'Dikeni', 'South Africa')",648.1939372933043,-2.0878790888042023,1,Johannesburg,South Africa
"('nan', 'Leo', 'Burkina Faso')",648.4304244505322,1.910416428006875,1,Accra,Burkina Faso
"('Ogunu', 'Warri', 'Nigeria')",650.2922082131713,-0.02577949851362571,1,Accra,Nigeria
"('Benin City', 'Benin City', 'Nigeria')",652.1365174842014,0.13385068620667262,1,Accra,Nigeria
"('Akpakpava', 'Benin City', 'Nigeria')",653.6756041147214,0.13525292796502417,1,Accra,Nigeria
"('Leo', 'Leo', 'Burkina Faso')",662.7522686496006,1.8953346953862498,1,Accra,Burkina Faso
"('nan', 'Machel Village', 'Mozambique')",672.2276511817233,0.206205316258636,1,Johannesburg,Mozambique
"('Fort Beaufort', 'Fort Beaufort', 'South Africa')",694.3835095945701,-1.764643822840558,1,Johannesburg,South Africa
"('Delta', 'Delta', 'Nigeria')",701.967240250525,-0.02515275477397974,1,Accra,Nigeria
"('nan', 'Kibaya', 'Rwanda')",710.0801249626626,-3.0148164026909865,1,Nairobi,Rwanda
"('Kwekwe', 'Kwekwe', 'Zimbabwe')",711.3962345357664,1.2568252881541422,3,Johannesburg,Zimbabwe
"('Agbor', 'Benin City', 'Nigeria')",712.5905424416119,0.11056364609556484,1,Accra,Nigeria
"('Chipinge', 'Chipinge', 'Zimbabwe')",722.7443726292634,0.8408678505248747,1,Johannesburg,Zimbabwe
"('Water Bolt~ Polosa Street', 'Auchi', 'Nigeria')",737.2419155234126,0.23045478562487282,1,Accra,Nigeria
"('nan', 'Zandamela', 'Mozambique')",740.9873252407153,0.14741913833404746,1,Johannesburg,Mozambique
"('Banfora', 'Banfora', 'Burkina Faso')",758.0865618015847,2.2963577979987386,1,Accra,Burkina Faso
"('Kigali', 'Kigali', 'Rwanda')",763.0140806216176,-3.0547274153901247,2,Nairobi,Rwanda
"('Poa', 'Poa', 'Burkina Faso')",770.8861656126724,1.8418879445532355,1,Accra,Burkina Faso
"('Asaba', 'Asaba', 'Nigeria')",772.0210852396818,0.09157471273777588,1,Accra,Nigeria
"('Onitsha', 'Anambra', 'Nigeria')",772.3844969729311,0.06599519275229299,1,Accra,Nigeria
"('Bobo-Dioulasso', 'Bobo-Dioulasso', 'Burkina Faso')",772.9732165972861,2.1963252151516057,2,Accra,Burkina Faso
"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",774.2868959133821,1.760639189558184,6,Accra,Burkina Faso
"('Ngozi', 'Ngozi', 'Burundi')",788.0062771337772,-2.941792323640507,2,Nairobi,Burundi
"('Zimbabwe', 'Zimbabwe', 'Zimbabwe')",788.4030457217021,1.3116060303970052,1,Johannesburg,Zimbabwe
"('Anambra', 'Imo State', 'Nigeria')",789.6367688305071,0.07468558544924522,1,Accra,Nigeria
"('Anambra', 'Anambra', 'Nigeria')",789.6367688305071,0.07468558544924522,3,Accra,Nigeria
"('nan', 'Anambra', 'Nigeria')",789.6367688305071,0.07468558544924522,1,Accra,Nigeria
"('Nnewi', 'Nnewi', 'Nigeria')",791.2331430833619,0.06595656049597222,1,Accra,Nigeria
"('nan', 'Orlu', 'Nigeria')",797.2626688209449,0.018260372008745453,1,Accra,Nigeria
"('Gitega', 'Gitega', 'Burundi')",801.0814959392111,-2.8772388670291504,1,Nairobi,Burundi
"('Owerri', 'Owerri', 'Nigeria')",802.4724302335728,-0.008163125249947596,1,Accra,Nigeria
"('Juba', 'Juba', 'South Sudan')",803.4420942529454,2.331826952733242,6,Nairobi,South Sudan
"('Orlu', 'Orlu', 'Nigeria')",803.7458740906458,0.03709068429127517,1,Accra,Nigeria
"('Port Harcourt', 'Port Harcourt', 'Nigeria')",805.4343837077425,-0.10765934606338966,1,Accra,Nigeria
"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",807.4092457516402,-1.89469683665539,2,Johannesburg,South Africa
"('Bisoro', 'Bisoro', 'Burundi')",808.6174639320626,-2.8695106745388625,1,Nairobi,Burundi
"('nan', 'Asa', 'Nigeria')",810.8784381799193,0.6554964263659537,1,Accra,Nigeria
"('Juba', 'Upper Nill', 'South Sudan')",811.1048551578388,2.3217670672735458,1,Nairobi,South Sudan
"('Musanze', 'Musanze', 'Rwanda')",815.2779612873414,-3.1167818574604285,1,Nairobi,Rwanda
"('Kigoma', 'Kigoma', 'Tanzania')",823.7363326801564,-2.7505756223060662,1,Nairobi,Tanzania
"('Mwaro', 'Mwaro', 'Burundi')",829.2778303892247,-2.881304731733155,1,Nairobi,Burundi
"('Aba', 'Aba', 'Nigeria')",835.328628949231,-0.07612624209092836,1,Accra,Nigeria
"('Goma', 'Goma', 'Democratic Republic of the Congo')",835.4547143817878,-3.0962817348879135,3,Nairobi,Democratic Republic Of The Congo
"('Ariaria', 'Aba', 'Nigeria')",837.0124027953822,-0.05941833753055885,1,Accra,Nigeria
"('Bujumbura', 'Bujumbura', 'Burundi')",841.7131502148305,-2.8979959032040647,10,Nairobi,Burundi
"('Victoria Falls', 'Victoria Falls', 'Zimbabwe')",855.5020603625404,1.8270321834616503,1,Johannesburg,Zimbabwe
"('Amawom', 'Owerri', 'Nigeria')",855.6193210166882,-0.028442810593596768,1,Accra,Nigeria
"('Abaji', 'Abaji', 'Nigeria')",855.7705877219298,0.3901984022552273,1,Accra,Nigeria
