ID,109,127,134,142,152,201,202,206,211,214b,215,219,225,311,321,340,341,342,343,344,345,406,516,701,703,705,707,712,713,715,717,9J,9A,9N,100b,101,302,308,229w,229x,229y,229z,231,238
277213,,"(('Kawangware', 'Nairobi', 'Kenya'),)","(('Bondo', 'Siaya', 'Kenya'),)",,,"(('London', 'Nakuru', 'Kenya'),)",,,,,,"(('Na', 'Na', 'Na'),)",,,,"(('Alupe', 'Busia', 'Kenya'),)",,,,,"(('Kajulu', 'Kisumu', 'Kenya'),)","(('London', 'Nakuru', 'Kenya'),)",,,,,,,,,,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Kajulu', 'Kenya'),)","(('Kisumu', 'Kisumu', 'Kenya'),)","(('Soko', 'Nairobi', 'Kenya'),)","(('Soko', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)"
277290,,"(('Kiambu', 'Thika', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Tanzania'),)","(('Moshi', 'Moshi', 'Tanzania'), ('Moshi', 'Moshi', 'Tanzania'))",,"(('Magadini', 'Moshi', 'Tanzania'),)","(('Muslim Kawangware', 'Nairobi', 'Kenya'),)","(('Congo Kawangware', 'Nairobi', 'Kenya'),)",,,"(('Manyara', 'Arusha', 'Tanzania'),)","(('Dodoma', 'Dodoma', 'Tanzania'),)","(('Muslim Kawangware', 'Nairobi', 'Kenya'),)","(('Magadini', 'Moshi', 'Tanzania'),)",,"(('kiambu', 'thika', 'kenya'),)",,,"(('Magadini', 'Moshi', 'Tanzania'),)","(('Kiambu', 'Thika', 'Kenya'),)",,"(('Magadini', 'Moshi', 'Tanzania'),)","(('Magadini', 'Moshi', 'Tanzania'),)","(('Kiambu', 'Thika', 'Kenya'),)",,,,,"(('Magadini', 'Moshi', 'Tanzania'),)","(('Magadini', 'Moshi', 'Tanzania'),)","(('Magadini', 'Moshi', 'Tanzania'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Magadini', 'Tanzania'),)","(('Moshi', 'Moshi', 'Tanzania'),)","(('Muslim Kawangware', 'Nairobi', 'Kenya'),)","(('Congo Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Muslim', 'Nairobi', 'Kenya'),)","(('Magadini', 'Nairobi', 'Kenya'),)"
277291,,"(('Kawangware', 'Nairobi', 'Kenya'),)","(('Rangira', 'Awendo', 'Kenya'), ('Kawangware', 'Nairobi', 'Kenya'))",,,"(('Awendo', 'Migori', 'Kenya'),)","(('Eldoret', 'Eldoret', 'Kenya'), ('Kasarani', 'Nairobi', 'Kenya'))","(('Kawangware', 'Nairobi', 'Kenya'),)",,,,"(('Kahawa', 'Nairobi', 'Kenya'),)","(('Kasarani', 'Nairobi', 'Kenya'),)","(('Dede', 'Awendo', 'Kenya'), ('Dede', 'Awendo', 'Kenya'), ('Kawangware', 'Nairobi', 'Kenya'))","(('Dede', 'Awendo', 'Kenya'),)",,"(('dede', 'migori', 'kenya'),)","(('Dede', 'Migori', 'Kenya'),)",,"(('Migori', 'Migori', 'Kenya'),)",,"(('Dede', 'Migoro', 'Kenya'),)","(('', '', ''),)",,,,,,,,,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Luo', 'Kenya'),)","(('Awendo', 'Awendo', 'Kenya'),)","(('Worked From Home', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Other (Specify)', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kahawa', 'Nairobi', 'Kenya'),)","(('Kasarani', 'Nairobi', 'Kenya'), ('Kawangware', 'Nairobi', 'Kenya'))","(('Kasarani', 'Nairobi', 'Kenya'),)"
277321,,"(('Kawangware', 'Nairobi', 'Kenyan'),)","(('Na', 'Muranga', 'Kenyan'),)","(('Nairobi', 'Nairobi', 'Kenyan'),)","(('Kahawa West', 'Kahawa West', 'Kenyan'), ('Kawangware', 'Kawangware', 'Kenyan'))","(('Nakuru', 'Nakuru', 'Kenyan'),)",,,,,,"(('Na', 'Na', 'Na'),)","(('Shachangwan', 'Na', 'Kenyan'), ('Wethima', 'Nakuru', 'Kenyan'))","(('Shangwan', 'Nakuru', 'Kenyan'),)",,"(('none', 'Nairobi', 'Kenyan'),)","(('shangwan', 'Nakuru', 'Kenyan'),)","(('Shangwan', 'Nakuru', 'Kenyan'),)",,,"(('Shangwan', 'Nakuru', 'Kenyan'),)","(('Kawangware', 'Nairobi', 'Kenyan'),)","(('Shangwan', 'Nakuru', 'Kenyan'),)","(('Salga', 'Nakuru', 'Kenyan'),)","(('Na', 'Toronto', 'Canada'),)","(('Na', 'Toronto', 'Canada'),)",,"(('Na', 'Na', 'Na'),)","(('Na', 'Na', 'Na'),)","(('Juja', 'Kiambu', 'Kenyan'),)","(('Kawangware', 'Nairobi', 'Kenyan'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Shachangwan', 'Kenya'),)","(('Salga', 'Salga', 'Kenya'),)","(('Kawangware Market', 'Nairobi', 'Kenya'),)","(('Kawangware Market', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Umoja 3', 'Nairobi', 'Kenya'),)","(('Nakuru', 'Nairobi', 'Kenya'),)"
277354,,"(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kiambu', 'Kiambu', 'Kenya'),)","(('Nairobi', 'Nairobi', 'Kenya'),)",,"(('Kikuyu', 'Nairobi', 'Kenya'), ('Mombasa', 'Msambweni', 'Kenya'), ('Kawangware', 'Nairobi', 'Kenya'))",,,,,,"(('Msambweni', 'Mombasa', 'Kenya'),)","(('Kikuyu', 'Nairobi', 'Kenya'),)","(('Eastlands', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)",,,"(('Kawangware', 'Nairobi', 'Kenya'),)",,"(('Ngong', 'Nairobi', 'Kenya'),)",,"(('Eastlands', 'Nairobi', 'Kenya'),)","(('Tanzania', 'Dodoma', 'Tanzania'),)","(('Morocco', 'Morocco', 'Morocco'),)","(('Morocco', 'Morocco', 'Morocco'),)","(('Morocco', 'Morocco', 'Morocco'),)",,,"(('Ngong', 'Nairobi', 'Kenya'),)","(('Ngong', 'Nairobi', 'Kenya'),)",,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Kikuyu', 'Kenya'),)","(('Nairobi', 'Nairobi', 'Kenya'),)","(('Ndararua', 'Nairobi', 'Kenya'),)","(('Kirinyaga Road', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Other (Specify)', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kangemi', 'Nairobi', 'Kenya'),)","(('Kangemi', 'Nairobi', 'Kenya'),)","(('Kangemi', 'Nairobi', 'Kenya'), ('Kikuyu', 'Nairobi', 'Kenya'))"
277372,,"(('N/A', 'N/A', 'N/A'),)","(('Bushiende', 'Nambale', 'Uganda'),)",,,"(('Bududa', 'Nambale', 'Uganda'),)","(('Busia', 'Kakamega', 'Kenya'),)",,,,,"(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Busia', 'Kakamega', 'Kenya'),)",,"(('kawangware', 'nairobi', 'kenya'),)","(('busia', 'kakamega', 'kenya'),)","(('Busia', 'Kakamega', 'Kenya'),)",,"(('Bududa', 'Nambale', 'Uganda'),)","(('Busia', 'Kakamega', 'Kenya'),)","(('Busia', 'Kakamega', 'Kenya'),)",,"(('Bududa', 'Nambale', 'Uganda'),)","(('Bududa', 'Nambale', 'Uganda'),)","(('Bududa', 'Nambale', 'Uganda'),)",,,"(('Kawangware', 'Nairobi', 'Kenya'),)","(('Buduba', 'Nambale', 'Uganda'),)","(('Buduba', 'Nambale', 'Uganda'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Mganda', 'Uganda'),)","(('Mbale', 'Mbale', 'Uganda'),)","(('South C', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Uganda', 'Nairobi', 'Kenya'),)"
277374,,,"(('Dinka', 'Warrap', 'Southsudan'), ('Dinka', 'Warrap', 'South Sudan'), ('Dinka', 'Warrap', 'South Sudan'))",,,"(('Dinka', 'Warrap', 'South Sudan'), ('Tumbra', 'Southsudan', 'Southsudan'), ('South C', 'Nairobi', 'Kenya'))","(('Kawangware', 'Nairobi', 'Kenya'),)",,,,"(('Kakuma', 'Turkana', 'Kenya'),)","(('Nairobi', 'Nairobi', 'Kenya'),)",,,"(('Usa', 'Usa', 'Usa'),)",,,"(('Kakuma', 'Turkana', 'Kenya'),)",,,"(('Kakuma', 'Turkana', 'Kenya'),)","(('Warrap', 'Warrap', 'South Sudan'),)",,,,,,,,,,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Warrap', 'Warrap', 'South Sudan'),)","(('-1', '-1', 'South Sudan'),)","(('Na', 'Nairobi', 'Kenya'),)","(('Na', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Other (Specify)', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Southc', 'Nairobi', 'Kenya'),)","(('South  ', 'Nairobi', 'Kenya'),)","(('Southc', 'Nairobi', 'Kenya'),)"
277415,,"(('Nyakoe', 'Kisii', 'Kenya'),)","(('Nyakoe', 'Kisii', 'Kenya'),)","(('Kisii', 'Kisii', 'Kenya'),)","(('Kisii', 'Kisii', 'Kenya'),)","(('Sondu', 'Nyamira', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)",,,,,"(('Texas', 'Texas City', 'Usa'),)","(('Mombasa', 'Mombasa', 'Kenya'), ('Migori', 'Migori', 'Kenya'))",,,"(('sondu', 'Nyamira', 'Kenya'),)",,,,,,"(('Migori', 'Migori', 'Kenya'), ('Mombasa', 'Mombasa', 'Kenya'))",,,"(('Texas', 'Texas City', 'Usa'),)","(('Texas', 'Texas City', 'Usa'),)",,,"(('Sondu', 'Nyamira', 'Kenya'),)","(('Sondu', 'Nyamira', 'Kenya'),)",,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nyamira', 'Kenya'),)","(('Sondu', 'Sondu', 'Kenya'),)","(('Kwa Chief', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'), ('Kawangware', 'Nairobi', 'Kenya'))","(('-1', 'Nairobi', 'Kenya'),)"
277420,,"(('Kitale', 'Kakamenga', 'Kenya'),)","(('Kitale', 'Kakamenga', 'Kenya'),)","(('Kitale', 'Kitale', 'Kenya'),)",,"(('Kitale', 'Kakamenga', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)",,,,,"(('Nairobi', 'Nairobi', 'Kanya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kitale', 'Kakamega', 'Kenya'),)",,"(('kitale', 'Kakamega', 'kenya'),)","(('kitale', 'Kakamega', 'Kenya'),)","(('Kitale', 'Kakamenga', 'Kenya'),)",,,,,,,,,,,,,,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kakamenga', 'Kitale', 'Kenya'),)","(('-1', '-1', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)"
277424,,,"(('Kawango', 'Kisumu', 'Kenya'),)",,,"(('Kawangware', 'Nairobi', 'Kenya'),)",,,,,,"(('Na', 'Na', 'Na'),)",,,,"(('kawangware market', 'Nairobi', 'Kenya'),)",,,,"(('Kawango', 'Kisumu', 'Kenya'),)",,"(('Kawango', 'Kisumu', 'Kenya'),)",,,,,,"(('Na', 'Na', 'Na'),)","(('Na', 'Na', 'Na'),)","(('Kawango', 'Nairobi', 'Kenya'),)",,"(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Kawango', 'Kenya'),)","(('Kisumu', 'Kisumu', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('Kawangware Market', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)","(('Kawangware ', 'Nairobi', 'Kenya'),)","(('-1', 'Nairobi', 'Kenya'),)"
