theme,total,203b,205c,207b,210b,215,217
Education,0.09673202614379085,0.10935601458080195,0.09507042253521127,0.06620209059233449,0.0898876404494382,0.08,0.09090909090909091
Housing,0.09084967320261438,0.08019441069258809,0.11267605633802817,0.07317073170731707,0.1797752808988764,0.08,0.09090909090909091
Kin,0.19477124183006536,0.21385176184690158,0.1936619718309859,0.1672473867595819,0.15730337078651685,0.16,0.045454545454545456
Remain,0.00261437908496732,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
Restart,0.01699346405228758,0.009720534629404616,0.03169014084507042,0.020905923344947737,0.011235955056179775,0.0,0.09090909090909091
Safety,0.02091503267973856,0.023086269744835967,0.02464788732394366,0.010452961672473868,0.02247191011235955,0.0,0.045454545454545456
Work,0.5771241830065359,0.5637910085054678,0.5422535211267606,0.662020905923345,0.5393258426966292,0.68,0.45454545454545453
