,respondentID,birthyear,age,distance_from_origin_location_km,location_name_D,location_latlon_D,location_name_O,location_latlon_O,index_O,name_O,index_D,name_D,count,location_tuple_O,location_tuple_D,location_O1,location_O2,location_O3,location_D1,location_D2,location_D3,location_O32,location_D32,location_O321,location_D321,i_O321,i_O1,i_O2,i_O3,i_D321,i_D1,i_D2,i_D3,color
10,286054,1995,26,1170.7367127057114,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Tsanyawa', 'Zango Bichi', 'Nigeria')","(12.295, 7.98561)",10,"Tsanyawa, Zango Bichi, Nigeria",241,"Old Fadama, Accra, Ghana",1,"('Tsanyawa', 'Zango Bichi', 'Nigeria')","('Old Fadama', 'Accra', 'Ghana')",Tsanyawa,Zango Bichi,Nigeria,Old Fadama,Accra,Ghana,Nigeria > Zango Bichi,Ghana > Accra,Nigeria > Zango Bichi > Tsanyawa,Ghana > Accra > Old Fadama,228,290,109,8,38,271,18,3,"rgba(40,111,52, 0.8)"
11,285104,1989,32,1150.721692498921,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Bamako', 'Bamako', 'Mali')","(12.61326555, -7.984739136241295)",11,"Bamako, Bamako, Mali",240,"Madina, Accra, Ghana",1,"('Bamako', 'Bamako', 'Mali')","('Madina', 'Accra', 'Ghana')",Bamako,Bamako,Mali,Madina,Accra,Ghana,Mali > Bamako,Ghana > Accra,Mali > Bamako > Bamako,Ghana > Accra > Madina,159,31,31,6,34,238,18,3,"rgba(97,92,194, 0.8)"
12,288605,1974,47,1037.4407173425525,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Gobir', 'Kano', 'Nigeria')","(9.283333, 8.4)",12,"Gobir, Kano, Nigeria",241,"Old Fadama, Accra, Ghana",1,"('Gobir', 'Kano', 'Nigeria')","('Old Fadama', 'Accra', 'Ghana')",Gobir,Kano,Nigeria,Old Fadama,Accra,Ghana,Nigeria > Kano,Ghana > Accra,Nigeria > Kano > Gobir,Ghana > Accra > Old Fadama,206,196,62,8,38,271,18,3,"rgba(40,111,52, 0.8)"
13,284517,1998,23,1025.2053093311902,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Nkuanu West', 'Enugu State', 'Nigeria')","(10.3825318, 7.853322599999999)",13,"Nkuanu West, Enugu State, Nigeria",240,"Madina, Accra, Ghana",1,"('Nkuanu West', 'Enugu State', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Nkuanu West,Enugu State,Nigeria,Madina,Accra,Ghana,Nigeria > Enugu State,Ghana > Accra,Nigeria > Enugu State > Nkuanu West,Ghana > Accra > Madina,198,251,50,8,34,238,18,3,"rgba(40,111,52, 0.8)"
14,287298,1988,33,1024.987407436643,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Gboko Central', 'Benue State', 'Nigeria')","(7.37784815, 8.871322377025628)",14,"Gboko Central, Benue State, Nigeria",242,"James Town, Accra, Ghana",1,"('Gboko Central', 'Benue State', 'Nigeria')","('James Town', 'Accra', 'Ghana')",Gboko Central,Benue State,Nigeria,James Town,Accra,Ghana,Nigeria > Benue State,Ghana > Accra,Nigeria > Benue State > Gboko Central,Ghana > Accra > James Town,188,195,36,8,29,209,18,3,"rgba(40,111,52, 0.8)"
15,288201,1974,47,1023.9802072144972,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Nyanya', 'Abuja', 'Nigeria')","(6.678354, 8.969930999999999)",15,"Nyanya, Abuja, Nigeria",242,"James Town, Accra, Ghana",1,"('Nyanya', 'Abuja', 'Nigeria')","('James Town', 'Accra', 'Ghana')",Nyanya,Abuja,Nigeria,James Town,Accra,Ghana,Nigeria > Abuja,Ghana > Accra,Nigeria > Abuja > Nyanya,Ghana > Accra > James Town,178,258,16,8,29,209,18,3,"rgba(40,111,52, 0.8)"
16,289088,1994,27,975.3557329223728,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Tillaberi', 'Niamey', 'Niger')","(14.2090125, 1.4546006)",16,"Tillaberi, Niamey, Niger",241,"Old Fadama, Accra, Ghana",1,"('Tillaberi', 'Niamey', 'Niger')","('Old Fadama', 'Accra', 'Ghana')",Tillaberi,Niamey,Niger,Old Fadama,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Tillaberi,Ghana > Accra > Old Fadama,170,289,76,7,38,271,18,3,"rgba(77,103,23, 0.8)"
17,289102,1997,24,958.80747131517,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Dosso', 'Niamey', 'Niger')","(13.333699300000001, 3.621398)",17,"Dosso, Niamey, Niger",241,"Old Fadama, Accra, Ghana",1,"('Dosso', 'Niamey', 'Niger')","('Old Fadama', 'Accra', 'Ghana')",Dosso,Niamey,Niger,Old Fadama,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Dosso,Ghana > Accra > Old Fadama,165,184,76,7,38,271,18,3,"rgba(77,103,23, 0.8)"
18,284137,1996,25,945.0608145745872,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Okaria', 'Aba', 'Nigeria')","(6.289885, 8.347011)",18,"Okaria, Aba, Nigeria",240,"Madina, Accra, Ghana",1,"('Okaria', 'Aba', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Okaria,Aba,Nigeria,Madina,Accra,Ghana,Nigeria > Aba,Ghana > Accra,Nigeria > Aba > Okaria,Ghana > Accra > Madina,173,270,11,8,34,238,18,3,"rgba(40,111,52, 0.8)"
19,283571,2001,20,939.0753812085704,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Creek Town', 'Calabar', 'Nigeria')","(4.9782589999999995, 8.275178)",19,"Creek Town, Calabar, Nigeria",240,"Madina, Accra, Ghana",1,"('Creek Town', 'Calabar', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Creek Town,Calabar,Nigeria,Madina,Accra,Ghana,Nigeria > Calabar,Ghana > Accra,Nigeria > Calabar > Creek Town,Ghana > Accra > Madina,189,172,41,8,34,238,18,3,"rgba(40,111,52, 0.8)"
