,Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc
371,"('Maseru', 'Maseru', 'Lesotho')",Johannesburg,Urban City,Urban,City,1
378,"('Matatiele', 'Matatiele', 'South Africa')",Johannesburg,Urban Village,Urban,Village,3
377,"('Matatiele', 'Matatiele', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
390,"('Migori', 'Migori', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,8
389,"('Migori', 'Migori', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,3
396,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Nairobi,Non-Urban Village,Non-Urban,Village,10
395,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Nairobi,Non-Urban Town,Non-Urban,Town,3
401,"('Mombasa', 'Mombasa', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
400,"('Mombasa', 'Mombasa', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
404,"('Morogoro', 'Morogoro', 'Tanzania')",Johannesburg,Non-Urban City,Non-Urban,City,1
405,"('Morogoro', 'Morogoro', 'Tanzania')",Johannesburg,Non-Urban Town,Non-Urban,Town,1
409,"('Mpraeso', 'Mpraeso', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
410,"('Mpraeso', 'Mpraeso', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
416,"('Muranga', 'Muranga', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
417,"('Muranga', 'Muranga', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
426,"('Nairobi', 'Nairobi', 'Kenya')",Nairobi,Urban Town,Urban,Town,6
427,"('Nairobi', 'Nairobi', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
430,"('Nakuru', 'Nakuru', 'Kenya')",Nairobi,Urban Village,Urban,Village,4
429,"('Nakuru', 'Nakuru', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
437,"('Nelspruit', 'Nelspruit', 'South Africa')",Johannesburg,Urban Village,Urban,Village,3
436,"('Nelspruit', 'Nelspruit', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
446,"('Niamey', 'Niamey', 'Niger')",Accra,Urban Town,Urban,Town,13
447,"('Niamey', 'Niamey', 'Niger')",Accra,Urban Village,Urban,Village,5
445,"('Niamey', 'Niamey', 'Niger')",Accra,Urban City,Urban,City,1
449,"('Nima', 'Nima', 'Ghana')",Accra,Urban Town,Urban,Town,2
448,"('Nima', 'Nima', 'Ghana')",Accra,Urban City,Urban,City,1
460,"('Nqutu', 'Nquthu', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
461,"('Nqutu', 'Nquthu', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
464,"('Nsawam', 'Nsawam', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
463,"('Nsawam', 'Nsawam', 'Ghana')",Accra,Non-Urban City,Non-Urban,City,1
467,"('Nyamira', 'Nyamira', 'Kenya')",Nairobi,Urban Village,Urban,Village,7
466,"('Nyamira', 'Nyamira', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
470,"('Nyeri', 'Nyeri', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
469,"('Nyeri', 'Nyeri', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
475,"('Oda', 'Oda', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
474,"('Oda', 'Oda', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
487,"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",Accra,Urban Town,Urban,Town,3
488,"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",Accra,Urban Village,Urban,Village,2
491,"('Oyugis', 'Oyugis', 'Kenya')",Nairobi,Urban Village,Urban,Village,3
490,"('Oyugis', 'Oyugis', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
505,"('Plumtree', 'Plumtree', 'Zimbabwe')",Johannesburg,Non-Urban Village,Non-Urban,Village,1
504,"('Plumtree', 'Plumtree', 'Zimbabwe')",Johannesburg,Non-Urban City,Non-Urban,City,1
508,"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
509,"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
512,"('Porto-Novo', 'Porto-Novo', 'Benin')",Accra,Urban Town,Urban,Town,5
513,"('Porto-Novo', 'Porto-Novo', 'Benin')",Accra,Urban Village,Urban,Village,1
514,"('Pretoria', 'Pretoria', 'South Africa')",Johannesburg,Urban Town,Urban,Town,2
515,"('Pretoria', 'Pretoria', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
542,"('Siaya', 'Siaya', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,14
541,"('Siaya', 'Siaya', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,2
546,"('Sogakope', 'Sogakope', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
545,"('Sogakope', 'Sogakope', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
564,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban Town,Urban,Town,17
565,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban Village,Urban,Village,7
563,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban City,Urban,City,2
571,"('Techiman', 'Techiman', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
572,"('Techiman', 'Techiman', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
573,"('Tema', 'Tema', 'Ghana')",Accra,Urban Town,Urban,Town,3
574,"('Tema', 'Tema', 'Ghana')",Johannesburg,Urban Town,Urban,Town,1
584,"('Tororo', 'Tororo', 'Uganda')",Nairobi,Urban Town,Urban,Town,1
585,"('Tororo', 'Tororo', 'Uganda')",Nairobi,Urban Village,Urban,Village,1
590,"('Tzaneen', 'Tzaneen', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
591,"('Tzaneen', 'Tzaneen', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
614,"('Wote', 'Wote', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
615,"('Wote', 'Wote', 'Kenya')",Nairobi,Urban Village,Urban,Village,1
617,"('Xai Xai', 'Xai Xai', 'Mozambique')",Johannesburg,Urban City,Urban,City,1
618,"('Xai Xai', 'Xai Xai', 'Mozambique')",Johannesburg,Urban Town,Urban,Town,1
625,"('Yendi', 'Yendi', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,2
624,"('Yendi', 'Yendi', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
679,"('nan', 'Nqutu', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
680,"('nan', 'Nqutu', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
697,"('nan', 'nan', 'nan')",Accra,Unclassified Village,Unclassified,Village,9
696,"('nan', 'nan', 'nan')",Accra,Unclassified Town,Unclassified,Town,4
695,"('nan', 'nan', 'nan')",Accra,Unclassified City,Unclassified,City,4
700,"('nan', 'nan', 'nan')",Johannesburg,Unclassified Village,Unclassified,Village,25
698,"('nan', 'nan', 'nan')",Johannesburg,Unclassified City,Unclassified,City,13
699,"('nan', 'nan', 'nan')",Johannesburg,Unclassified Town,Unclassified,Town,13
702,"('nan', 'nan', 'nan')",Nairobi,Unclassified Village,Unclassified,Village,34
701,"('nan', 'nan', 'nan')",Nairobi,Unclassified Town,Unclassified,Town,6
