Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
"('Hazyview', 'Hazyview', 'South Africa')",Johannesburg,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Hillbrow', 'H', 'South Africa')",Johannesburg,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Hleswaneng', 'Jane Furse', 'South Africa')",Johannesburg,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Hlotse', 'Hlotse', 'Lesotho')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Hluhluwe', 'Hluhluwe', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Katito', 'Katito', 'Kenya')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Katlehong', 'Hamanskraal', 'South Africa')",Johannesburg,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Kebbi State', 'Kebbi State', 'Nigeria')",Accra,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kwamhlanga', 'Kwamhlanga', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Korle Bu', 'Korle Bu', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Kpangalam', 'Sokode', 'Togo')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Krugersdorp', 'Krugersdorp', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Kuajok', 'Kuajok', 'South Sudan')",Nairobi,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kwahu', 'Kwahu', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Klerksdorp', 'Klerksdorp', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Kyebi', 'Kyebi', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kyua', 'Kyua', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('La', 'Accra', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Labadi', 'Labadi', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Ladysmith', 'Ladysmith', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Lagos State', 'Lagos State', 'Nigeria')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Konongo', 'Kumasi', 'Ghana')",Accra,Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kempton Park', 'Kempton Park', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Kericho', 'Kericho', 'Kenya')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Keroka', 'Kisii', 'Kenya')",Nairobi,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Kerugoya', 'Kerugoya', 'Kenya')",Nairobi,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"('Kete Krachi', 'Kete Krachi', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Khartoum', 'Khartoum', 'Sudan')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Kigali', 'Kigali', 'Rwanda')",Nairobi,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"('Kinamba', 'Kinamba', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kigoma', 'Kigoma', 'Tanzania')",Nairobi,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kilgoris', 'Kilgoris', 'Kenya')",Nairobi,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Kilindini', 'Kilingini', 'Kenya')",Nairobi,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Kilome', 'Kilome', 'Kenya')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Kimilili', 'Kimilili', 'Kenya')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Makola', 'Ibadan', 'Nigeria')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
