Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
"('Abuja', 'Kaduna', 'Nigeria')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Adawlato', 'Adawlato', 'Togo')",Accra,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Aflao', 'Aflao', 'Togo')",Accra,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"('Adenta', 'Accra', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Allada', 'Allada', 'Benin')",Accra,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Amawom', 'Owerri', 'Nigeria')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Amsterdam', 'Amsterdam', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Bekwai', 'Bekwai', 'Ghana')",Accra,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Baraka', 'Baraka', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Bawah Barracks', 'Tamale', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Bawjiase', 'Bawjiase', 'Ghana')",Accra,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Beila', 'Beila', 'Mozambique')",Johannesburg,Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Beira', 'Beira', 'Mozambique')",Johannesburg,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"('Benin City', 'Benin City', 'Nigeria')",Accra,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Banfora', 'Banfora', 'Burkina Faso')",Accra,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Benoni', 'Benoni', 'South Africa')",Johannesburg,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Bentiu', 'Bentiu', 'South Sudan')",Nairobi,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Benue State', 'Benue State', 'Nigeria')",Accra,Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Bereasa', 'Berea', 'South Africa')",Johannesburg,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Berekum', 'Berekum', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Bergville', 'Bergville', 'South Africa')",Johannesburg,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Bangou', 'Bangou', 'Cameroon')",Johannesburg,Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Bandal', 'Bandal', 'Democratic Republic of the Congo')",Johannesburg,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Anambra', 'Imo State', 'Nigeria')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Asene Kotopong', 'Jamestown', 'Ghana')",Accra,Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Angola', 'Angola', 'Angola')",Johannesburg,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Anloga', 'Anloga', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Anyinam', 'Anyinam', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
