,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
27,27,Nairobi,"('Kitui', 'Kitui', 'Kenya')",4,181.69299771032112,-0.1378914368679044,38.372811654368775,-1.56422195,"('Nairobi', ('Kitui', 'Kitui', 'Kenya'))",13,"('Kitui', 'Kitui', 'Kenya')",Kenya,Kitui,Kitui,"('Kitui', 'Kitui', 'Kenya')",Non-Urban Village,Non-Urban,Village,11,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,Nairobi,"('Nakuru', 'Nakuru', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Nakuru', 'Nakuru', 'Kenya'))",14,Nairobi,Kenya,Nakuru,Nakuru,"('Nakuru', 'Nakuru', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
29,29,Nairobi,"('Nakuru', 'Nakuru', 'Kenya')",4,125.38289705610865,2.2116539139102,36.0712048,-0.2802724,"('Nairobi', ('Nakuru', 'Nakuru', 'Kenya'))",14,"('Nakuru', 'Nakuru', 'Kenya')",Kenya,Nakuru,Nakuru,"('Nakuru', 'Nakuru', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
30,30,Nairobi,"('Kampala', 'Kampala', 'Uganda')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kampala', 'Kampala', 'Uganda'))",15,Nairobi,Uganda,Kampala,Kampala,"('Kampala', 'Kampala', 'Uganda')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
31,31,Nairobi,"('Kampala', 'Kampala', 'Uganda')",3,485.1871645287762,2.8272973504938177,32.5813539,0.3177137,"('Nairobi', ('Kampala', 'Kampala', 'Uganda'))",15,"('Kampala', 'Kampala', 'Uganda')",Uganda,Kampala,Kampala,"('Kampala', 'Kampala', 'Uganda')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
32,32,Nairobi,"('Makueni', 'Makueni', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Makueni', 'Makueni', 'Kenya'))",16,Nairobi,Kenya,Makueni,Makueni,"('Makueni', 'Makueni', 'Kenya')",Non-Urban Village,Non-Urban,Village,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,Nairobi,"('Makueni', 'Makueni', 'Kenya')",3,138.05244645448462,-0.6836624711957153,37.87717148162715,-2.25709305,"('Nairobi', ('Makueni', 'Makueni', 'Kenya'))",16,"('Makueni', 'Makueni', 'Kenya')",Kenya,Makueni,Makueni,"('Makueni', 'Makueni', 'Kenya')",Non-Urban Village,Non-Urban,Village,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,Nairobi,"('Nyamira', 'Nyamira', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Nyamira', 'Nyamira', 'Kenya'))",17,Nairobi,Kenya,Nyamira,Nyamira,"('Nyamira', 'Nyamira', 'Kenya')",Urban Village,Urban,Village,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
35,35,Nairobi,"('Nyamira', 'Nyamira', 'Kenya')",3,209.4474298458329,2.86487773525912,34.93413079992329,-0.65225405,"('Nairobi', ('Nyamira', 'Nyamira', 'Kenya'))",17,"('Nyamira', 'Nyamira', 'Kenya')",Kenya,Nyamira,Nyamira,"('Nyamira', 'Nyamira', 'Kenya')",Urban Village,Urban,Village,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
36,36,Nairobi,"('Arusha', 'Arusha', 'Tanzania')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Arusha', 'Arusha', 'Tanzania'))",18,Nairobi,Tanzania,Arusha,Arusha,"('Arusha', 'Arusha', 'Tanzania')",Non-Urban Village,Non-Urban,Village,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,Nairobi,"('Arusha', 'Arusha', 'Tanzania')",2,201.75927034656948,-1.623103567184356,36.8004200748534,-3.52386665,"('Nairobi', ('Arusha', 'Arusha', 'Tanzania'))",18,"('Arusha', 'Arusha', 'Tanzania')",Tanzania,Arusha,Arusha,"('Arusha', 'Arusha', 'Tanzania')",Non-Urban Village,Non-Urban,Village,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,Nairobi,"('Awendo', 'Awendo', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Awendo', 'Awendo', 'Kenya'))",19,Nairobi,Kenya,Awendo,Awendo,"('Awendo', 'Awendo', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
39,39,Nairobi,"('Awendo', 'Awendo', 'Kenya')",2,248.58017229350835,3.004302297902599,34.53172,-0.9079812,"('Nairobi', ('Awendo', 'Awendo', 'Kenya'))",19,"('Awendo', 'Awendo', 'Kenya')",Kenya,Awendo,Awendo,"('Awendo', 'Awendo', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
40,40,Nairobi,"('Bungoma', 'Bungoma', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bungoma', 'Bungoma', 'Kenya'))",20,Nairobi,Kenya,Bungoma,Bungoma,"('Bungoma', 'Bungoma', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
41,41,Nairobi,"('Bungoma', 'Bungoma', 'Kenya')",2,292.6090764245537,2.4400610760694645,34.71916810731902,0.78292445,"('Nairobi', ('Bungoma', 'Bungoma', 'Kenya'))",20,"('Bungoma', 'Bungoma', 'Kenya')",Kenya,Bungoma,Bungoma,"('Bungoma', 'Bungoma', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
42,42,Nairobi,"('Eldoret', 'Eldoret', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Eldoret', 'Eldoret', 'Kenya'))",21,Nairobi,Kenya,Eldoret,Eldoret,"('Eldoret', 'Eldoret', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
43,43,Nairobi,"('Eldoret', 'Eldoret', 'Kenya')",2,230.7575268260629,2.353386183866443,35.271548100000004,0.5198329,"('Nairobi', ('Eldoret', 'Eldoret', 'Kenya'))",21,"('Eldoret', 'Eldoret', 'Kenya')",Kenya,Eldoret,Eldoret,"('Eldoret', 'Eldoret', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
44,44,Nairobi,"('Kerugoya', 'Kerugoya', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kerugoya', 'Kerugoya', 'Kenya'))",22,Nairobi,Kenya,Kerugoya,Kerugoya,"('Kerugoya', 'Kerugoya', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,45,Nairobi,"('Kerugoya', 'Kerugoya', 'Kenya')",2,90.9094911252628,0.867948628260446,37.278584,-0.49633,"('Nairobi', ('Kerugoya', 'Kerugoya', 'Kenya'))",22,"('Kerugoya', 'Kerugoya', 'Kenya')",Kenya,Kerugoya,Kerugoya,"('Kerugoya', 'Kerugoya', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,46,Nairobi,"('Kiambu', 'Kiambu', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kiambu', 'Kiambu', 'Kenya'))",23,Nairobi,Kenya,Kiambu,Kiambu,"('Kiambu', 'Kiambu', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
47,47,Nairobi,"('Kiambu', 'Kiambu', 'Kenya')",2,23.691418564877555,2.063757248081799,36.81568670212906,-1.03207695,"('Nairobi', ('Kiambu', 'Kiambu', 'Kenya'))",23,"('Kiambu', 'Kiambu', 'Kenya')",Kenya,Kiambu,Kiambu,"('Kiambu', 'Kiambu', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
48,48,Nairobi,"('Kinangop', 'Kinangop', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kinangop', 'Kinangop', 'Kenya'))",24,Nairobi,Kenya,Kinangop,Kinangop,"('Kinangop', 'Kinangop', 'Kenya')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,Nairobi,"('Kinangop', 'Kinangop', 'Kenya')",2,57.292852397929735,2.111333826325069,36.65,-0.7166,"('Nairobi', ('Kinangop', 'Kinangop', 'Kenya'))",24,"('Kinangop', 'Kinangop', 'Kenya')",Kenya,Kinangop,Kinangop,"('Kinangop', 'Kinangop', 'Kenya')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,Nairobi,"('Kitale', 'Kitale', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitale', 'Kitale', 'Kenya'))",25,Nairobi,Kenya,Kitale,Kitale,"('Kitale', 'Kitale', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
51,51,Nairobi,"('Kitale', 'Kitale', 'Kenya')",2,284.1893777695408,2.311867853982756,35.000236,1.018076,"('Nairobi', ('Kitale', 'Kitale', 'Kenya'))",25,"('Kitale', 'Kitale', 'Kenya')",Kenya,Kitale,Kitale,"('Kitale', 'Kitale', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
52,52,Nairobi,"('Meru', 'Meru', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Meru', 'Meru', 'Kenya'))",26,Nairobi,Kenya,Meru,Meru,"('Meru', 'Meru', 'Kenya')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
53,53,Nairobi,"('Meru', 'Meru', 'Kenya')",2,142.2571985436946,0.9550525161358032,37.6500063,0.0499786,"('Nairobi', ('Meru', 'Meru', 'Kenya'))",26,"('Meru', 'Meru', 'Kenya')",Kenya,Meru,Meru,"('Meru', 'Meru', 'Kenya')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
54,54,Nairobi,"('Mombasa', 'Mombasa', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Mombasa', 'Mombasa', 'Kenya'))",27,Nairobi,Kenya,Mombasa,Mombasa,"('Mombasa', 'Mombasa', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
55,55,Nairobi,"('Mombasa', 'Mombasa', 'Kenya')",2,404.5190042697591,-0.6288023343472984,39.667169,-4.05052,"('Nairobi', ('Mombasa', 'Mombasa', 'Kenya'))",27,"('Mombasa', 'Mombasa', 'Kenya')",Kenya,Mombasa,Mombasa,"('Mombasa', 'Mombasa', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
56,56,Nairobi,"('Mumias', 'Mumias', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Mumias', 'Mumias', 'Kenya'))",28,Nairobi,Kenya,Mumias,Mumias,"('Mumias', 'Mumias', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
57,57,Nairobi,"('Mumias', 'Mumias', 'Kenya')",2,305.91380579620886,2.639552781141695,34.4891,0.3363,"('Nairobi', ('Mumias', 'Mumias', 'Kenya'))",28,"('Mumias', 'Mumias', 'Kenya')",Kenya,Mumias,Mumias,"('Mumias', 'Mumias', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
58,58,Nairobi,"(""Murang'A"", ""Murang'A"", 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', (""Murang'A"", ""Murang'A"", 'Kenya'))",29,Nairobi,Kenya,Murang'A,Murang'A,"(""Murang'A"", ""Murang'A"", 'Kenya')",Unclassified Village,Unclassified,Village,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
59,59,Nairobi,"(""Murang'A"", ""Murang'A"", 'Kenya')",2,39.955533638380565,1.321833783295082,37.00486124961815,-0.83091505,"('Nairobi', (""Murang'A"", ""Murang'A"", 'Kenya'))",29,"(""Murang'A"", ""Murang'A"", 'Kenya')",Kenya,Murang'A,Murang'A,"(""Murang'A"", ""Murang'A"", 'Kenya')",Unclassified Village,Unclassified,Village,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
60,60,Nairobi,"('Nairobi', 'Nairobi', 'Kenya')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Nairobi', 'Nairobi', 'Kenya'))",30,Nairobi,Kenya,Nairobi,Nairobi,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
61,61,Nairobi,"('Nairobi', 'Nairobi', 'Kenya')",2,7.292625401689183,-0.0586410413053811,36.8172449,-1.2832533000000002,"('Nairobi', ('Nairobi', 'Nairobi', 'Kenya'))",30,"('Nairobi', 'Nairobi', 'Kenya')",Kenya,Nairobi,Nairobi,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
62,62,Nairobi,"('Namaingo', 'Namaingo', 'Uganda')",2,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Namaingo', 'Namaingo', 'Uganda'))",31,Nairobi,Uganda,Namaingo,Namaingo,"('Namaingo', 'Namaingo', 'Uganda')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
63,63,Nairobi,"('Namaingo', 'Namaingo', 'Uganda')",2,367.9355136047399,2.726216894876912,33.8716691,0.3380554,"('Nairobi', ('Namaingo', 'Namaingo', 'Uganda'))",31,"('Namaingo', 'Namaingo', 'Uganda')",Uganda,Namaingo,Namaingo,"('Namaingo', 'Namaingo', 'Uganda')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
64,64,Nairobi,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",1,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Addis Ababa', 'Addis Ababa', 'Ethiopia'))",32,Nairobi,Ethiopia,Addis Ababa,Addis Ababa,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0
