Unnamed: 0.1,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,level,location_pair_id,locations,country,loc2,loc1,URUN,ID,neighborhood_9
0,0,Nairobi,"('Machakos', 'Machakos', 'Kenya')",11,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",1,0,Nairobi,Kenya,Machakos,Machakos,Urban,33,Kawangware
1,1,Nairobi,"('Machakos', 'Machakos', 'Kenya')",11,71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",1,0,"('Machakos', 'Machakos', 'Kenya')",Kenya,Machakos,Machakos,Urban,33,Kawangware
2,2,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",9,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,1,Nairobi,Kenya,Kisumu,Kisumu,Urban,75,Kawangware
3,3,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",9,245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,1,"('Kisumu', 'Kisumu', 'Kenya')",Kenya,Kisumu,Kisumu,Urban,75,Kawangware
4,4,Nairobi,"('Kisii', 'Kisii', 'Kenya')",7,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",1,2,Nairobi,Kenya,Kisii,Kisii,Urban,45,Kawangware
5,5,Nairobi,"('Kisii', 'Kisii', 'Kenya')",7,226.9554167277812,2.9221338783085686,34.75398551201732,-0.73894255,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",1,2,"('Kisii', 'Kisii', 'Kenya')",Kenya,Kisii,Kisii,Urban,45,Kawangware
6,6,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",1,3,Nairobi,Democratic Republic of the Congo,Bukavu,Bukavu,Urban,27,Kayole
7,7,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",4,903.9670414077232,-3.006390465001477,28.8336436,-2.51039075,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",1,3,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Bukavu,Bukavu,Urban,27,Kayole
8,8,Nairobi,"('Busia', 'Busia', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",1,4,Nairobi,Kenya,Busia,Busia,Urban,32,Kawangware
9,9,Nairobi,"('Busia', 'Busia', 'Kenya')",4,313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",1,4,"('Busia', 'Busia', 'Kenya')",Kenya,Busia,Busia,Urban,32,Kawangware
10,10,Nairobi,"('Embu', 'Embu', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",1,5,Nairobi,Kenya,Embu,Embu,Non-Urban,6,Kawangware
11,11,Nairobi,"('Embu', 'Embu', 'Kenya')",4,120.9362831052233,0.5724891806314639,37.6652884382665,-0.5359479,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",1,5,"('Embu', 'Embu', 'Kenya')",Kenya,Embu,Embu,Non-Urban,6,Kawangware
12,12,Nairobi,"('Makadara', 'Nairobi', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Makadara', 'Nairobi', 'Kenya'))",1,6,Nairobi,Kenya,Nairobi,Makadara,Urban,4,Kayole
13,13,Nairobi,"('Makadara', 'Nairobi', 'Kenya')",4,391.698862430273,-0.659209315670104,39.67398695424764,-4.0615647500000005,"('Nairobi', ('Makadara', 'Nairobi', 'Kenya'))",1,6,"('Makadara', 'Nairobi', 'Kenya')",Kenya,Nairobi,Makadara,Urban,4,Kayole
14,14,Nairobi,"('Migori', 'Migori', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",1,7,Nairobi,Kenya,Migori,Migori,Non-Urban,24,Kawangware
15,15,Nairobi,"('Migori', 'Migori', 'Kenya')",4,271.9435161483056,3.0543637670520813,34.30964322421073,-1.0211616,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",1,7,"('Migori', 'Migori', 'Kenya')",Kenya,Migori,Migori,Non-Urban,24,Kawangware
16,16,Nairobi,"('Siaya', 'Siaya', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",1,8,Nairobi,Kenya,Siaya,Siaya,Non-Urban,46,Kawangware
17,17,Nairobi,"('Siaya', 'Siaya', 'Kenya')",4,303.8985468539849,2.763088603861669,34.20013500999629,-0.06040135,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",1,8,"('Siaya', 'Siaya', 'Kenya')",Kenya,Siaya,Siaya,Non-Urban,46,Kawangware
18,18,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",1,9,Nairobi,Democratic Republic of the Congo,Uvira,Uvira,Non-Urban,27,Kayole
19,19,Nairobi,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",4,895.5754022189934,-2.929126818887537,29.00714088737295,-3.1982504,"('Nairobi', ('Uvira', 'Uvira', 'Democratic Republic of the Congo'))",1,9,"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Uvira,Uvira,Non-Urban,27,Kayole
20,20,Nairobi,"('Buruburu', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Buruburu', 'Nairobi', 'Kenya'))",1,10,Nairobi,Kenya,Nairobi,Buruburu,Urban,24,Kawangware
21,21,Nairobi,"('Buruburu', 'Nairobi', 'Kenya')",3,14.429865477150676,-0.0985508878965379,36.88104001390165,-1.29438875,"('Nairobi', ('Buruburu', 'Nairobi', 'Kenya'))",1,10,"('Buruburu', 'Nairobi', 'Kenya')",Kenya,Nairobi,Buruburu,Urban,24,Kawangware
22,22,Nairobi,"('Eldoret', 'Eldoret', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Eldoret', 'Eldoret', 'Kenya'))",1,11,Nairobi,Kenya,Eldoret,Eldoret,Urban,14,Kawangware
23,23,Nairobi,"('Eldoret', 'Eldoret', 'Kenya')",3,230.7575268260629,2.353386183866443,35.271548100000004,0.5198329,"('Nairobi', ('Eldoret', 'Eldoret', 'Kenya'))",1,11,"('Eldoret', 'Eldoret', 'Kenya')",Kenya,Eldoret,Eldoret,Urban,14,Kawangware
24,24,Nairobi,"('Homa Bay', 'Homa Bay', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Homa Bay', 'Homa Bay', 'Kenya'))",1,12,Nairobi,Kenya,Homa Bay,Homa Bay,Non-Urban,18,Kawangware
25,25,Nairobi,"('Homa Bay', 'Homa Bay', 'Kenya')",3,277.59287427028966,2.902348612376076,34.31878185590796,-0.56396015,"('Nairobi', ('Homa Bay', 'Homa Bay', 'Kenya'))",1,12,"('Homa Bay', 'Homa Bay', 'Kenya')",Kenya,Homa Bay,Homa Bay,Non-Urban,18,Kawangware
26,26,Nairobi,"('Kakamega', 'Kakamega', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kakamega', 'Kakamega', 'Kenya'))",1,13,Nairobi,Kenya,Kakamega,Kakamega,Urban,55,Kawangware
27,27,Nairobi,"('Kakamega', 'Kakamega', 'Kenya')",3,269.3386015035923,2.4945118495864844,34.80154886163461,0.4957104,"('Nairobi', ('Kakamega', 'Kakamega', 'Kenya'))",1,13,"('Kakamega', 'Kakamega', 'Kenya')",Kenya,Kakamega,Kakamega,Urban,55,Kawangware
28,28,Nairobi,"('Kampala', 'Kampala', 'Uganda')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kampala', 'Kampala', 'Uganda'))",1,14,Nairobi,Uganda,Kampala,Kampala,Urban,62,Kawangware
29,29,Nairobi,"('Kampala', 'Kampala', 'Uganda')",3,485.1871645287762,2.8272973504938177,32.5813539,0.3177137,"('Nairobi', ('Kampala', 'Kampala', 'Uganda'))",1,14,"('Kampala', 'Kampala', 'Uganda')",Uganda,Kampala,Kampala,Urban,62,Kawangware
30,30,Nairobi,"('Kasarani', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kasarani', 'Nairobi', 'Kenya'))",1,15,Nairobi,Kenya,Nairobi,Kasarani,Urban,32,Kawangware
