ID,originColor,9_lat,9_lon,9_location,100_lat,100_lon,100_location,202_lat,202_lon,202_location,202.1_lat,202.1_lon,202.1_location,202.2_lat,202.2_lon,202.2_location,202.3_lat,202.3_lon,202.3_location,202.4_lat,202.4_lon,202.4_location,206_lat,206_lon,206_location,211_lat,211_lon,211_location,214_lat,214_lon,214_location,215_lat,215_lon,215_location,nummoves200,moveCount,totalDist
277321,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",35.6683897,0.5549545,"('nan', 'Sachangwan', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,203.87063
277354,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",36.8172449,-1.2832533,"('Nairobi', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,7.307061525
277372,Uganda,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",32.033333,0.366667,"('Bushiende', 'Nambale', 'Uganda')",34.2647952,0.3712048,"('Busia', 'Kakamega', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,562.378517
277374,South Sudan,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",28.5,8.5,"('Warrap', 'Warrap', 'South Sudan')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.825154,3.753338,"('Kakuma', 'Turkana', 'Kenya')",3,3,2298.421209
277415,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",35.125814,-0.4616812,"('Sondu', 'Sondu', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,195.1641724
277420,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.8015489,0.4957104,"('Kakamega', 'Kitale', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,269.4991451
277424,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1,246.1346307
277425,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",37.3952698,-1.2790047,"('Machakos', 'Machakos', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,71.56805094
277426,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.734576,-0.509908,"('Oyugis', 'Oyugis', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,234.7654552
277444,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.2647952,0.3712048,"('Busia', 'Busia', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,314.2508818
