,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,level,location_pair_id,locations,country,loc2,loc1,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village,geometry,in_thm,move_count_in,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
0,Nairobi,"('Machakos', 'Machakos', 'Kenya')",11,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",1,0,Nairobi,Kenya,Machakos,Machakos,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,POINT (37.39526976478788 -1.279004649644776),Education,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Work,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Nairobi,"('Machakos', 'Machakos', 'Kenya')",11,71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,"('Nairobi', ('Machakos', 'Machakos', 'Kenya'))",1,0,"('Machakos', 'Machakos', 'Kenya')",Kenya,Machakos,Machakos,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,POINT (37.39526976478788 -1.279004649644776),Education,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Work,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",9,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,1,Nairobi,Kenya,Kisumu,Kisumu,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,POINT (34.75417609984714 -0.1029109001178767),Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Nairobi,"('Kisumu', 'Kisumu', 'Kenya')",9,245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,"('Nairobi', ('Kisumu', 'Kisumu', 'Kenya'))",1,1,"('Kisumu', 'Kisumu', 'Kenya')",Kenya,Kisumu,Kisumu,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,POINT (34.75417609984714 -0.1029109001178767),Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Nairobi,"('Kisii', 'Kisii', 'Kenya')",7,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",1,2,Nairobi,Kenya,Kisii,Kisii,"('Kisii', 'Kisii', 'Kenya')",Urban Village,Urban,Village,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,POINT (34.753985511922 -0.738942549658816),Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Nairobi,"('Kisii', 'Kisii', 'Kenya')",7,226.9554167277812,2.9221338783085686,34.75398551201732,-0.73894255,"('Nairobi', ('Kisii', 'Kisii', 'Kenya'))",1,2,"('Kisii', 'Kisii', 'Kenya')",Kenya,Kisii,Kisii,"('Kisii', 'Kisii', 'Kenya')",Urban Village,Urban,Village,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,POINT (34.753985511922 -0.738942549658816),Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",1,3,Nairobi,Democratic Republic of the Congo,Bukavu,Bukavu,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,
7,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",4,903.9670414077232,-3.006390465001477,28.8336436,-2.51039075,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",1,3,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Bukavu,Bukavu,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,
8,Nairobi,"('Busia', 'Busia', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",1,4,Nairobi,Kenya,Busia,Busia,"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,
9,Nairobi,"('Busia', 'Busia', 'Kenya')",4,313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",1,4,"('Busia', 'Busia', 'Kenya')",Kenya,Busia,Busia,"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,
10,Nairobi,"('Embu', 'Embu', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",1,5,Nairobi,Kenya,Embu,Embu,"('Embu', 'Embu', 'Kenya')",Non-Urban Village,Non-Urban,Village,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
11,Nairobi,"('Embu', 'Embu', 'Kenya')",4,120.9362831052233,0.5724891806314639,37.6652884382665,-0.5359479,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",1,5,"('Embu', 'Embu', 'Kenya')",Kenya,Embu,Embu,"('Embu', 'Embu', 'Kenya')",Non-Urban Village,Non-Urban,Village,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
12,Nairobi,"('Makadara', 'Nairobi', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Makadara', 'Nairobi', 'Kenya'))",1,6,Nairobi,Kenya,Nairobi,Makadara,,,,,,,,,,,,,,,POINT (39.67398695413482 -4.061564749913202),Work,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Work,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
13,Nairobi,"('Makadara', 'Nairobi', 'Kenya')",4,391.698862430273,-0.659209315670104,39.67398695424764,-4.0615647500000005,"('Nairobi', ('Makadara', 'Nairobi', 'Kenya'))",1,6,"('Makadara', 'Nairobi', 'Kenya')",Kenya,Nairobi,Makadara,,,,,,,,,,,,,,,POINT (39.67398695413482 -4.061564749913202),Work,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Work,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
14,Nairobi,"('Migori', 'Migori', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",1,7,Nairobi,Kenya,Migori,Migori,"('Migori', 'Migori', 'Kenya')",Non-Urban Village,Non-Urban,Village,9.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15,Nairobi,"('Migori', 'Migori', 'Kenya')",4,271.9435161483056,3.0543637670520813,34.30964322421073,-1.0211616,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",1,7,"('Migori', 'Migori', 'Kenya')",Kenya,Migori,Migori,"('Migori', 'Migori', 'Kenya')",Non-Urban Village,Non-Urban,Village,9.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,Nairobi,"('Siaya', 'Siaya', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Siaya', 'Siaya', 'Kenya'))",1,8,Nairobi,Kenya,Siaya,Siaya,"('Siaya', 'Siaya', 'Kenya')",Non-Urban Village,Non-Urban,Village,15.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
