Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Ejisu,Kumasi,Ghana,Town,Madina,Accra,-1.5009105,6.7163307,330,1
Ekero,Kakamega,Kenya,Village,Kawangware,Nairobi,34.5043796,0.3253342,1002,1
Ekero,Mumias,Kenya,Village,Ongata Rongai,Nairobi,34.5043796,0.3253342,1002,1
Ekholomani,Kakamega,Kenya,Village,Kawangware,Nairobi,34.80154886,0.4957104,509,1
Eldamaravine,Nakuru,Kenya,Village,Ongata Rongai,Nairobi,36.0712048,-0.2802724,1345,1
Elim,Makhado,South Africa,Village,Diepsloot,Johannesburg,30.0604292,-23.1597507,1300,1
Elmina,Cape Coast,Ghana,Town,James Town,Accra,-1.350578,5.085879,366,1
Elzai,Makueni,Kenya,Village,Kayole,Nairobi,37.87717148,-2.25709305,112,1
Emali,Machakos,Kenya,Village,Ongata Rongai,Nairobi,37.475521,-2.081915,246,2
Embu,Embu,Kenya,Town,Kawangware,Nairobi,37.66528844,-0.5359479,179,1
Embu,Embu,Kenya,Village,Kawangware,Nairobi,37.66528844,-0.5359479,179,1
Emthunzini,Nelspruit,South Africa,Village,Diepsloot,Johannesburg,28.33594837,-25.7062431,9500,1
Emzihlophe,Johannesburg,South Africa,Town,Berea,Johannesburg,28.049722,-26.205,24049,1
Enchi,Takoradi,Ghana,Town,Madina,Accra,-2.8237051,5.8231755,48,1
Engalaweni,Mzimba,Malawi,Village,Diepsloot,Johannesburg,33.3652503,-11.9072446,380,1
Enugu,Anambra,Nigeria,Town,Madina,Accra,7.4143061,6.5536094,361,1
Enugu,Enugu,Nigeria,Town,Madina,Accra,7.4143061,6.5536094,361,1
Enugu,Lagos,Nigeria,Town,Madina,Accra,7.4143061,6.5536094,361,1
Enugu,New Heaven,Nigeria,City,James Town,Accra,7.4143061,6.5536094,361,1
Erar Community,Boshoftu Town,Ethiopia,Village,Kawangware,Nairobi,39.4178312,14.1534761,208,1
Eskoweni,Krugersdorp,South Africa,Village,Diepsloot,Johannesburg,27.775556,-26.095556,1695,1
Fernie,Ermelo,South Africa,Village,Berea,Johannesburg,30.7944444,-26.3944444,1349,1
Ferroviario Das Mahotas,Maputo,Mozambique,Town,Katlehong,Johannesburg,32.612913,-25.9156234,5857,1
Fizi,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.88063156,-4.2696783,46,1
Flamingo,Nakuru,Kenya,Village,Kawangware,Nairobi,36.0712048,-0.2802724,1345,1
Fon,Abomey,Benin,Village,James Town,Accra,1.982880367,7.165446,638,1
Free State,Villiers,South Africa,City,Katlehong,Johannesburg,26.4978933,-28.7853618,0,1
Ga-Chwene,Polokwane,South Africa,Village,Diepsloot,Johannesburg,29.4613889,-23.9058333,3273,1
Gaga,Fort Beafort,South Africa,Village,Diepsloot,Johannesburg,26.785,-32.7575,605,1
Galona,Gisambai,Kenya,Village,Kayole,Nairobi,36.8172449,-1.2832533,5332,1
Gambaga,Tamale,Ghana,Town,Old Fadama,Accra,-0.438157,10.53091,85,1
Garankuwa,Garankuwa And In 2013 That Justsa,South Africa,City,Berea,Johannesburg,28.1879444,-25.7459374,9635,1
Garissa,Garissa,Kenya,Town,Kawangware,Nairobi,40.35638691,-0.52360305,2,1
Gashasha,Milembwe,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Gashasha,Minembwe,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Gatanga,Thika,Kenya,Village,Kayole,Nairobi,36.9625651,-0.9383,884,1
Gaweye,Niamey,Niger,Town,James Town,Accra,2.109823,13.524834,3747,2
Gaza,Gaza,Mozambique,City,Katlehong,Johannesburg,32.8066057,-23.328398,2,1
Gaza,Macia,Mozambique,Village,Katlehong,Johannesburg,32.8066057,-23.328398,2,1
Gem,Siaya,Kenya,Village,Ongata Rongai,Nairobi,39.6674548,-4.0333212,11936,1
Gem Aono,Lwanda,Kenya,Village,Kayole,Nairobi,36.8172449,-1.2832533,5332,1
Gikambura,Kiambu,Kenya,Village,Kayole,Nairobi,36.8156867,-1.03207695,978,1
Ginger,Kampala,Uganda,Town,Kawangware,Nairobi,32.5813539,0.3177137,6396,1
Gisegiru,Goma,Democratic Republic Of The Congo,Village,Kawangware,Nairobi,29.225652,-1.6665685,4680,1
Gogrial,Kuajok,South Sudan,Village,Kawangware,Nairobi,28.0984675,8.5344438,55,1
Gokanka,Minembwe,Congo-Brazzaville,Village,Kayole,Nairobi,28.7300599,-3.9344201,#N/A,1
Gokwe,Kwekwe,Zimbabwe,Village,Diepsloot,Johannesburg,29.8140035,-18.9284366,1509,1
Gombebi,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Gomora In Alexandar,Gomora,South Africa,City,Berea,Johannesburg,28.098889,-26.104444,59847,1
Goria,Mbale,Uganda,Village,Ongata Rongai,Nairobi,33.7857626,1.3397908,419,1
Goudoumaria,Diffa,Niger,Village,Old Fadama,Accra,11.1885339,13.7106995,17,1
Guintou,Gao,Mali,Town,James Town,Accra,-0.0206064,16.3272875,69,1
Gushegu,Tamale,Ghana,Town,Old Fadama,Accra,-0.2164706,9.9185016,52,1
Gushegu,Yendi,Ghana,Village,Old Fadama,Accra,-0.2164706,9.9185016,52,1
Gwanda,Harare,Zimbabwe,Village,Katlehong,Johannesburg,29.28679834,-21.289533,14,1
Gweru,Bulawayo,Zimbabwe,Town,Katlehong,Johannesburg,29.8205953,-19.4616316,1136,1
Hali,Embangweni,Malawi,Village,Diepsloot,Johannesburg,33.4717291,-12.1420534,1060,1
Hamanskraal,Katlehong,South Africa,City,Diepsloot,Johannesburg,28.151111,-26.338611,11586,1
