Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Babo,Abaji,Nigeria,Village,James Town,Accra,6.9440179,8.4737831,193,1
Badagry,Lagos,Nigeria,Town,James Town,Accra,3.3941795,6.4550575,766,1
Bafilo,Sokode,Togo,Village,Old Fadama,Accra,1.135785161,8.98741755,90,1
Bagala,Nouna,Burkina Faso,Village,James Town,Accra,-3.8286118,12.5970239,17,1
Bakimberg,Mokopane,South Africa,Village,Berea,Johannesburg,29.016667,-24.183333,223,1
Balewa,Gusau,Nigeria,Village,Old Fadama,Accra,10.52,12.9786,139,1
Bamako,Bamako,Mali,City,Madina,Accra,-7.984739136,12.61326555,9964,1
Bamako,Bamako,Mali,City,Old Fadama,Accra,-7.984739136,12.61326555,9964,1
Bambatm,Timbuktu,Mali,Town,James Town,Accra,-3.0087272,16.7719091,5179,1
Bandal,Bandal,Democratic Republic Of The Congo,Town,Berea,Johannesburg,17.70037,-5.00703,39,1
Bangolo,Plateau,Ivory Coast,Town,Berea,Johannesburg,-4.6757272,7.3445792,#N/A,1
Banvim,Tamale,Ghana,Town,Old Fadama,Accra,-0.8381846,9.362291,544,1
Banzo,Bobo-Dioulasso,Burkina Faso,Village,Old Fadama,Accra,-4.2957591,11.1757783,512,1
Barbarton,Nelspruit,South Africa,Town,Diepsloot,Johannesburg,31.05282508,-25.7904253,1560,1
Bargazel,Juba,South Sudan,Town,Kawangware,Nairobi,31.5951655,4.8472017,29,1
Bariga In Shomolu Local Government Area,Lagos,Nigeria,Town,James Town,Accra,3.3941795,6.4550575,7403,1
Barube,Bumala,Kenya,Village,Ongata Rongai,Nairobi,34.2024041,0.3031139,862,1
Bauchi,Miri,Nigeria,City,Madina,Accra,10.0287754,10.6228284,78,1
Begame,Cotonou,Benin,Town,James Town,Accra,2.4252507,6.3676953,16008,1
Begoro,Bunso,Ghana,Town,Madina,Accra,-0.376333,6.38479,124,1
Beira,Beira,Mozambique,Town,Katlehong,Johannesburg,34.841782,-19.828707,769,1
Benguela,Lubango,Angola,City,Berea,Johannesburg,14.0356608,-12.9104657,18,1
Benin City,Agbor Park,Nigeria,City,Old Fadama,Accra,5.6221058,6.3330586,619,1
Benin City,Akpakpava,Nigeria,City,Old Fadama,Accra,5.6221058,6.3330586,619,1
Benoni,Benoni,South Africa,City,Berea,Johannesburg,28.3082376,-26.1930356,4144,1
Berea,Berea,South Africa,City,Berea,Johannesburg,28.0533333,-26.1822222,13656,3
Berea,Bereasa,South Africa,City,Berea,Johannesburg,28.0533333,-26.1822222,13656,1
Berea,Hillbrow,South Africa,City,Berea,Johannesburg,28.0533333,-26.1822222,13656,2
Berea,Johannesburg,South Africa,City,Berea,Johannesburg,28.0533333,-26.1822222,13656,2
Berea,Johannesburg,South Africa,Town,Berea,Johannesburg,28.0533333,-26.1822222,13656,7
Berea,Zaza,South Africa,Town,Berea,Johannesburg,28.0533333,-26.1822222,13656,1
Bersug,Polokwane,South Africa,Village,Diepsloot,Johannesburg,29.4613889,-23.9058333,3273,1
Bethlehem,Bethlehem,South Africa,Town,Katlehong,Johannesburg,28.3088889,-28.2308333,1033,1
Bibiani,Sefwi Wiaso,Ghana,Town,Madina,Accra,-2.314959,6.452944,164,1
Bibiani,Takoradi,Ghana,Town,Madina,Accra,-2.314959,6.452944,164,1
Bichombo,Villa,Democratic Republic Of The Congo,Village,Kayole,Nairobi,14.8987913,-1.0805443,18,1
Bilene Macia,Xai-Xai,Mozambique,Village,Diepsloot,Johannesburg,33.64073,-25.044479,1102,1
Bilma,Agadez,Niger,Town,James Town,Accra,12.91872,18.69293,0,1
Bimbilla,Kpandai,Ghana,Town,Old Fadama,Accra,0.0557043,8.859349,72,1
Bimbilla,Wulensi,Ghana,Town,Old Fadama,Accra,0.0557043,8.859349,72,1
Bimbilla,Yendi,Ghana,Town,James Town,Accra,0.0557043,8.859349,72,1
Birmingham Koni,Zinder,Niger,Town,James Town,Accra,8.9891659,13.8063421,3404,1
Bizana,Nomlatu,South Africa,City,Katlehong,Johannesburg,29.8532661,-30.8589668,885,1
Bizombo,Minembwe,Congo-Brazzaville,Village,Kayole,Nairobi,28.7300599,-3.9344201,#N/A,1
Blantyre,Blantyre,Malawi,Town,Berea,Johannesburg,35.0035694,-15.7862543,1211,1
Blantyre,Mulanje,Malawi,Town,Berea,Johannesburg,35.0035694,-15.7862543,1211,1
Blk,Blk,Malawi,City,Berea,Johannesburg,34.701808,-15.300392,89,1
Block,Ngurubani,Kenya,Village,Kayole,Nairobi,39.66668252,-3.9381813,284,1
Blompot,Dennilton,South Africa,Village,Berea,Johannesburg,22.6056039,-33.966576,58,1
Bluff,Durban,South Africa,City,Berea,Johannesburg,17.4575,-28.9292,0,1
Bobo Dioullasso,Ouagadougou,Burkina Faso,Village,James Town,Accra,-1.5270944,12.3681873,6674,1
Bobo-Dioulasso,Bobo-Dioulasso,Burkina Faso,City,James Town,Accra,-4.2957591,11.1757783,512,1
Bobonong,Selibe Pikwe,Botswana,Town,Berea,Johannesburg,28.419895,-21.963965,6,1
